article_candidate_index,article_url,article_title,article_published_time,source_path,source_line_number,bout_ordinal_in_article,fighter_a_text,fighter_b_text,scale_weight_a_lbs,scale_weight_b_lbs,marker_a,marker_b,raw_source_line,extraction_rule,review_status
1,https://www.ufc.com/news/fight-night-adelaide-2015-weigh-results,Fight Night Adelaide 2015 Weigh-In Results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000001_fight-night-adelaide-2015-weigh-results-606e90bbd9e9.html,53,3,Sean O’Connell,Anthony Perosh,205,205,,,Sean O’Connell (205) VS Anthony Perosh (205),explicit_parenthetical_weights_vs,candidate
1,https://www.ufc.com/news/fight-night-adelaide-2015-weigh-results,Fight Night Adelaide 2015 Weigh-In Results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000001_fight-night-adelaide-2015-weigh-results-606e90bbd9e9.html,54,4,James Vick,Jake Matthews,156,155,,,James Vick (156) VS Jake Matthews (155),explicit_parenthetical_weights_vs,candidate
1,https://www.ufc.com/news/fight-night-adelaide-2015-weigh-results,Fight Night Adelaide 2015 Weigh-In Results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000001_fight-night-adelaide-2015-weigh-results-606e90bbd9e9.html,56,5,Daniel Hooker,Hatsu Hioki,145,146,,,Daniel Hooker (145) VS Hatsu Hioki (146),explicit_parenthetical_weights_vs,candidate
1,https://www.ufc.com/news/fight-night-adelaide-2015-weigh-results,Fight Night Adelaide 2015 Weigh-In Results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000001_fight-night-adelaide-2015-weigh-results-606e90bbd9e9.html,57,6,Jonavin Webb,Kyle Noke,170,170,,,Jonavin Webb (170) VS Kyle Noke (170),explicit_parenthetical_weights_vs,candidate
1,https://www.ufc.com/news/fight-night-adelaide-2015-weigh-results,Fight Night Adelaide 2015 Weigh-In Results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000001_fight-night-adelaide-2015-weigh-results-606e90bbd9e9.html,58,7,Sam Alvey,Daniel Kelly,185,186,,,Sam Alvey (185) VS Daniel Kelly (186),explicit_parenthetical_weights_vs,candidate
1,https://www.ufc.com/news/fight-night-adelaide-2015-weigh-results,Fight Night Adelaide 2015 Weigh-In Results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000001_fight-night-adelaide-2015-weigh-results-606e90bbd9e9.html,59,8,Lisa Ellis,Bec Rawlings,115,115,,,Lisa Ellis (115) VS Bec Rawlings (115),explicit_parenthetical_weights_vs,candidate
1,https://www.ufc.com/news/fight-night-adelaide-2015-weigh-results,Fight Night Adelaide 2015 Weigh-In Results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000001_fight-night-adelaide-2015-weigh-results-606e90bbd9e9.html,60,9,Bradley Scott,Dylan Andrews,185,185,,,Bradley Scott (185) VS Dylan Andrews (185),explicit_parenthetical_weights_vs,candidate
1,https://www.ufc.com/news/fight-night-adelaide-2015-weigh-results,Fight Night Adelaide 2015 Weigh-In Results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000001_fight-night-adelaide-2015-weigh-results-606e90bbd9e9.html,61,10,Kailin Curran,Alex Chambers,116,115,,,Kailin Curran (116) VS Alex Chambers (115),explicit_parenthetical_weights_vs,candidate
1,https://www.ufc.com/news/fight-night-adelaide-2015-weigh-results,Fight Night Adelaide 2015 Weigh-In Results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000001_fight-night-adelaide-2015-weigh-results-606e90bbd9e9.html,62,11,Brendan O’Reilly,Vik Grujic,170,170,,,Brendan O’Reilly (170) VS Vik Grujic (170),explicit_parenthetical_weights_vs,candidate
1,https://www.ufc.com/news/fight-night-adelaide-2015-weigh-results,Fight Night Adelaide 2015 Weigh-In Results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000001_fight-night-adelaide-2015-weigh-results-606e90bbd9e9.html,63,12,Ben Nguyen,Alptekin Ozkilic,126,126,,,Ben Nguyen (126) VS Alptekin Ozkilic (126),explicit_parenthetical_weights_vs,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000002_fight-night-argentina-official-weigh-results-c92f1c5be23e.html,50,1,Neil Magny,Santiago Ponzinibbio,171,171,,,Neil Magny (171) vs Santiago Ponzinibbio (171),explicit_parenthetical_weights_vs,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000002_fight-night-argentina-official-weigh-results-c92f1c5be23e.html,51,2,Ricardo Lamas,Darren Elkins,145.5,145,,,Ricardo Lamas (145.5) vs Darren Elkins (145),explicit_parenthetical_weights_vs,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000002_fight-night-argentina-official-weigh-results-c92f1c5be23e.html,52,3,Khalil Rountree,Johnny Walker,204.5,205.5,,,Khalil Rountree (204.5) vs Johnny Walker (205.5),explicit_parenthetical_weights_vs,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000002_fight-night-argentina-official-weigh-results-c92f1c5be23e.html,53,4,Cezar Ferreira,Ian Heinisch,185.5,185,,,Cezar Ferreira (185.5) vs Ian Heinisch (185),explicit_parenthetical_weights_vs,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000002_fight-night-argentina-official-weigh-results-c92f1c5be23e.html,54,5,Guido Cannetti,Marlon Vera,135.5,135.5,,,Guido Cannetti (135.5) vs Marlon Vera (135.5),explicit_parenthetical_weights_vs,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000002_fight-night-argentina-official-weigh-results-c92f1c5be23e.html,55,6,Cynthia Calvillo,Poliana Botelho,118,115.5,*,,Cynthia Calvillo (118)* vs Poliana Botelho (115.5),explicit_parenthetical_weights_vs,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000002_fight-night-argentina-official-weigh-results-c92f1c5be23e.html,57,7,Michel Prazeres,Bartosz Fabinski,170.5,170,,,Michel Prazeres (170.5) vs Bartosz Fabinski (170),explicit_parenthetical_weights_vs,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000002_fight-night-argentina-official-weigh-results-c92f1c5be23e.html,58,8,Alexandre Pantoja,Ulka Sasaki,125.5,125.5,,,Alexandre Pantoja (125.5) vs Ulka Sasaki (125.5),explicit_parenthetical_weights_vs,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000002_fight-night-argentina-official-weigh-results-c92f1c5be23e.html,59,9,Humberto Bandenay,Austin Arnett,145.5,145.5,,,Humberto Bandenay (145.5) vs Austin Arnett (145.5),explicit_parenthetical_weights_vs,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000002_fight-night-argentina-official-weigh-results-c92f1c5be23e.html,60,10,Laureano Staropoli,Hector Aldana,169,169.5,,,Laureano Staropoli (169) vs Hector Aldana (169.5),explicit_parenthetical_weights_vs,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000002_fight-night-argentina-official-weigh-results-c92f1c5be23e.html,62,11,Devin Powell,Jesus Pinedo,155,156,,,Devin Powell (155) vs Jesus Pinedo (156),explicit_parenthetical_weights_vs,candidate
2,https://www.ufc.com/news/fight-night-argentina-official-weigh-results,Fight Night Argentina: Official Weigh-In Results,2018-11-16T07:13:35-0500,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000002_fight-night-argentina-official-weigh-results-c92f1c5be23e.html,63,12,Nad Narimani,Anderson dos Santos,145.5,144.5,,,Nad Narimani (145.5) vs Anderson dos Santos (144.5),explicit_parenthetical_weights_vs,candidate
3,https://www.ufc.com/news/fight-night-arlovski-vs-barnett-weigh-results,Fight Night Arlovski vs Barnett weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000003_fight-night-arlovski-vs-barnett-weigh-results-2f54abc9d3fc.html,50,1,Andrei Arlovski,Josh Barnett,238,256,,,Andrei Arlovski (238) vs Josh Barnett (256),explicit_parenthetical_weights_vs,candidate
3,https://www.ufc.com/news/fight-night-arlovski-vs-barnett-weigh-results,Fight Night Arlovski vs Barnett weigh-in results,2018-09-14T08:36:04-0400,data/raw/ufc_official_articles/20260821T210000Z/weigh_in/chunks/index_000000/item_000003_fight-night-arlovski-vs-barnett-weigh-results-2f54abc9d3fc.html,52,2,Alexander Gustafsson,Jan Blachowicz,205,205,,,Alexander Gustafsson (205) vs Jan Blachowicz (205),explicit_parenthetical_weights_vs,candidate
