family,url,lastmod
weigh_in,https://www.ufc.com/news/fight-night-lincoln-official-weigh-results,2018-09-25T01:04Z
scorecard,https://www.ufc.com/news/fight-night-lincoln-scorecard,2018-09-25T01:02Z
weigh_in,https://www.ufc.com/news/fight-night-liverpool-official-weigh-results,2018-09-19T15:46Z
scorecard,https://www.ufc.com/news/fight-night-liverpool-scorecard,2018-10-03T14:14Z
weigh_in,https://www.ufc.com/news/fight-night-london-manuwa-vs-anderson-weigh-results,2018-10-03T13:58Z
scorecard,https://www.ufc.com/news/fight-night-london-scorecard,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-london-weigh-results,2018-10-03T14:10Z
weigh_in,https://www.ufc.com/news/fight-night-long-island-official-weigh-results,2018-11-05T15:10Z
weigh_in,https://www.ufc.com/news/fight-night-macao-2014-weigh-results,2018-11-05T15:10Z
weigh_in,https://www.ufc.com/news/fight-night-maia-vs-condit-weigh-results,2018-10-03T13:28Z
weigh_in,https://www.ufc.com/news/fight-night-manila-2015-weigh-results,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-mexico-city-official-weigh-results,2018-10-03T14:08Z
weigh_in,https://www.ufc.com/news/fight-night-moncton-official-weigh-results,2018-11-05T15:10Z
weigh_in,https://www.ufc.com/news/fight-night-monterrey-2015-weigh-results,2018-09-19T15:46Z
scorecard,https://www.ufc.com/news/fight-night-moscow-scorecard,2018-09-18T18:12Z
scorecard,https://www.ufc.com/news/fight-night-moscow-scorecard-0,2018-09-25T01:02Z
weigh_in,https://www.ufc.com/news/fight-night-nashville-official-weigh-results,2018-09-14T12:47Z
weigh_in,https://www.ufc.com/news/fight-night-nashville-weigh-results,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-new-jersey-weigh-results,2018-09-19T14:53Z
weigh_in,https://www.ufc.com/news/fight-night-new-orleans-weigh-results,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-norfolk-official-weigh-results,2018-10-03T14:10Z
weigh_in,https://www.ufc.com/news/fight-night-oklahoma-city-official-weigh-results,2018-10-03T14:06Z
scorecard,https://www.ufc.com/news/fight-night-orlando-scorecard,2018-10-03T14:10Z
weigh_in,https://www.ufc.com/news/fight-night-orlando-weigh-results,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-orlando-weigh-results-0,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-phoenix-weigh-results,2018-09-14T12:47Z
weigh_in,https://www.ufc.com/news/fight-night-phoenix-weigh-results-0,2018-10-03T13:58Z
scorecard,https://www.ufc.com/news/fight-night-pittsburgh-scorecard,2018-09-19T15:46Z
weigh_in,https://www.ufc.com/news/fight-night-pittsburgh-weigh-results,2018-10-03T14:08Z
weigh_in,https://www.ufc.com/news/fight-night-porto-alegre-2015-weigh-results,2018-09-19T14:53Z
