entity_type,canonical_id,source_name,source_entity_type,source_id,source_url,match_method,match_confidence,review_status,valid_from,valid_to
fighter,f6ad626f-493e-5081-8c12-9435de57f092,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,http://ufcstats.com/fighter-details/bc711b6dd95c1af6,stable_provider_url,1.0,trusted,,
fighter,f6ad626f-493e-5081-8c12-9435de57f092,ufc_com,athlete,ca0e3795-df20-47c4-a46d-3a4f0122c3a4,,repeated_exact_fight_alignment_corner_identity,1.0,trusted,,
fighter,f6b40b2b-b919-56da-9aa7-525447eacd3a,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/195d0d3e14a2e256,http://ufcstats.com/fighter-details/195d0d3e14a2e256,stable_provider_url,1.0,trusted,,
fighter,f6c25a6d-f399-5cd9-a4bc-089f4186f16b,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/a77633a989013265,http://ufcstats.com/fighter-details/a77633a989013265,stable_provider_url,1.0,trusted,,
fighter,f6c92152-c473-5afe-b960-42ed91b89090,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/af90b10c785ced3e,http://ufcstats.com/fighter-details/af90b10c785ced3e,stable_provider_url,1.0,trusted,,
fighter,f6c92152-c473-5afe-b960-42ed91b89090,ufc_com,athlete,436821f1-dcb6-4c15-986b-77e0cbb1a688,,repeated_exact_fight_alignment_corner_identity,1.0,trusted,,
fighter,f7124cb1-0535-5590-b338-a87b3662da21,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/769fa803bf9d2e3b,http://ufcstats.com/fighter-details/769fa803bf9d2e3b,stable_provider_url,1.0,trusted,,
fighter,f715e3d9-fcfd-5784-9e37-c6a22ea5a933,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/568bebed6366b667,http://ufcstats.com/fighter-details/568bebed6366b667,stable_provider_url,1.0,trusted,,
fighter,f7292a42-3616-5d78-b394-6c7a93ab9b31,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/0e2c2daf11b5d8f2,http://ufcstats.com/fighter-details/0e2c2daf11b5d8f2,stable_provider_url,1.0,trusted,,
fighter,f72d8822-e836-569f-ac92-a72a4b364708,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/ebf1c247b2cba375,http://ufcstats.com/fighter-details/ebf1c247b2cba375,stable_provider_url,1.0,trusted,,
fighter,f72d8c3e-17b2-5196-853e-2f9dfffe2cca,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/b12a1d19ee383b7c,http://ufcstats.com/fighter-details/b12a1d19ee383b7c,stable_provider_url,1.0,trusted,,
fighter,f72d8c3e-17b2-5196-853e-2f9dfffe2cca,ufc_com,athlete,57133778-ae89-48bb-8634-a3dfecd8b59c,,repeated_exact_fight_alignment_corner_identity,1.0,trusted,,
fighter,f7339d12-4a25-5e9f-a126-0457cea90c4d,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/05b17ae24e6bba81,http://ufcstats.com/fighter-details/05b17ae24e6bba81,stable_provider_url,1.0,trusted,,
fighter,f7508762-c92b-5d6a-a8fc-e16245e4a400,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/92aed9d16794f42b,http://ufcstats.com/fighter-details/92aed9d16794f42b,stable_provider_url,1.0,trusted,,
fighter,f7508762-c92b-5d6a-a8fc-e16245e4a400,ufc_com,athlete,6b09e4d3-d7ae-47ad-8fcc-30809a23331c,,repeated_exact_fight_alignment_corner_identity,1.0,trusted,,
fighter,f7559b1f-8d1e-5220-9ec0-1dd6f5811436,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/e4e0993befecdaf8,http://ufcstats.com/fighter-details/e4e0993befecdaf8,stable_provider_url,1.0,trusted,,
fighter,f76d03bf-65d3-5c49-9716-cd2c9d2ce9fe,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/5cafbc97dba2e797,http://ufcstats.com/fighter-details/5cafbc97dba2e797,stable_provider_url,1.0,trusted,,
fighter,f77c89b5-7f3b-520c-a564-8d6755c00787,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/cc8c623cca88f54f,http://ufcstats.com/fighter-details/cc8c623cca88f54f,stable_provider_url,1.0,trusted,,
fighter,f77c89b5-7f3b-520c-a564-8d6755c00787,ufc_com,athlete,db5ef297-5f61-419e-8278-6c95807c4a8e,,repeated_exact_fight_alignment_corner_identity,1.0,trusted,,
fighter,f781f762-bd40-5f1e-9053-86876f9d28c8,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/bbab3baf66128ae2,http://ufcstats.com/fighter-details/bbab3baf66128ae2,stable_provider_url,1.0,trusted,,
fighter,f781f762-bd40-5f1e-9053-86876f9d28c8,ufc_com,athlete,5a2747c8-3f86-4d5b-879d-a1f1b100407d,,repeated_exact_fight_alignment_corner_identity,1.0,trusted,,
fighter,f7898eb8-563a-5ca0-862b-8915047b9864,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/1536a25e16fc299b,http://ufcstats.com/fighter-details/1536a25e16fc299b,stable_provider_url,1.0,trusted,,
fighter,f7898eb8-563a-5ca0-862b-8915047b9864,ufc_com,athlete,c3eefb99-bfdc-4e51-917a-b8667f6cf39b,,repeated_exact_fight_alignment_corner_identity,1.0,trusted,,
fighter,f78d36f0-8428-57d4-8742-aa854624bf50,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/22e07d3da1aa3475,http://ufcstats.com/fighter-details/22e07d3da1aa3475,stable_provider_url,1.0,trusted,,
fighter,f78d36f0-8428-57d4-8742-aa854624bf50,ufc_com,athlete,da796449-b7bb-49bb-a6eb-5e72515a7dbc,,repeated_exact_fight_alignment_corner_identity,1.0,trusted,,
fighter,f78df9c0-91b7-51ad-9256-c1957dde40f0,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/e69c5ce12f4e762b,http://ufcstats.com/fighter-details/e69c5ce12f4e762b,stable_provider_url,1.0,trusted,,
fighter,f793aaa3-9955-5533-bba5-2fe33484d78e,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/e57f0b06ea39e360,http://ufcstats.com/fighter-details/e57f0b06ea39e360,stable_provider_url,1.0,trusted,,
fighter,f793b52a-0891-5b06-848f-74dea1c9dc82,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/6e8349a0a0476d60,http://ufcstats.com/fighter-details/6e8349a0a0476d60,stable_provider_url,1.0,trusted,,
fighter,f793b52a-0891-5b06-848f-74dea1c9dc82,ufc_com,athlete,3bf0a70e-511b-4b68-a1a9-82b2d7075686,,repeated_exact_fight_alignment_corner_identity,1.0,trusted,,
fighter,f79b1b2c-1389-5378-b1ac-4dec3ecc0584,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/b42d3a1469dab722,http://ufcstats.com/fighter-details/b42d3a1469dab722,stable_provider_url,1.0,trusted,,
fighter,f79d0487-9a3f-5570-a135-f01e9f77e065,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/e96d8538d3f9d0ed,http://ufcstats.com/fighter-details/e96d8538d3f9d0ed,stable_provider_url,1.0,trusted,,
fighter,f7b083de-6ed7-5509-af22-e6b9fd477780,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/52ef95b5860fb28c,http://ufcstats.com/fighter-details/52ef95b5860fb28c,stable_provider_url,1.0,trusted,,
fighter,f7da2c8f-2a84-5667-a0e1-d79fe3ca679c,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/f584a6e0b5b74604,http://ufcstats.com/fighter-details/f584a6e0b5b74604,stable_provider_url,1.0,trusted,,
fighter,f7f2b46b-7ec6-56a6-bad8-0d54cba8e700,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/27b388f0aab49780,http://ufcstats.com/fighter-details/27b388f0aab49780,stable_provider_url,1.0,trusted,,
fighter,f7f2b46b-7ec6-56a6-bad8-0d54cba8e700,ufc_com,athlete,82dae3e3-c0db-4517-b9d6-70ba043f0406,,repeated_exact_fight_alignment_corner_identity,1.0,trusted,,
fighter,f7f4e630-43b9-556d-a90a-1215d0fce70d,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/6f4d199c0adc06f5,http://ufcstats.com/fighter-details/6f4d199c0adc06f5,stable_provider_url,1.0,trusted,,
fighter,f81abb30-2ee8-5a9d-8af9-d06453e9e7eb,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/92c96df8bdab5fea,http://ufcstats.com/fighter-details/92c96df8bdab5fea,stable_provider_url,1.0,trusted,,
fighter,f81edd09-95c8-598b-9ed9-0749502f65f0,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/4e33534d1e036444,http://ufcstats.com/fighter-details/4e33534d1e036444,stable_provider_url,1.0,trusted,,
fighter,f827c01d-699c-52b5-9cf8-e02c3d11b4c2,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/a7a3fb5f6c67b122,http://ufcstats.com/fighter-details/a7a3fb5f6c67b122,stable_provider_url,1.0,trusted,,
fighter,f861aa63-b610-598b-8c4c-8339bac32205,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/8f003ef7e0d9a139,http://ufcstats.com/fighter-details/8f003ef7e0d9a139,stable_provider_url,1.0,trusted,,
fighter,f867edb7-3c59-53e6-8544-bfe93b45b7a0,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/37b1696e6d115957,http://ufcstats.com/fighter-details/37b1696e6d115957,stable_provider_url,1.0,trusted,,
fighter,f867edb7-3c59-53e6-8544-bfe93b45b7a0,ufc_com,athlete,d31027f3-f97e-43f8-a9ed-1193dc314e55,,repeated_exact_fight_alignment_corner_identity,1.0,trusted,,
fighter,f8b112fa-ccd7-5e88-a16c-421412c5f31e,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/72c4b253d2f5ebf2,http://ufcstats.com/fighter-details/72c4b253d2f5ebf2,stable_provider_url,1.0,trusted,,
fighter,f8b112fa-ccd7-5e88-a16c-421412c5f31e,ufc_com,athlete,cf9b4d6c-4f75-45f9-a273-f4e0d583a8f6,,repeated_exact_fight_alignment_corner_identity,1.0,trusted,,
fighter,f8bb8721-7cf2-5cb8-abb6-9f7f348f4e2d,greco1899_ufcstats,fighter,http://ufcstats.com/fighter-details/be8dfcf0442812b1,http://ufcstats.com/fighter-details/be8dfcf0442812b1,stable_provider_url,1.0,trusted,,
