fightmetric_id,ufc_fight_uuid,drupal_internal_nid,red_athlete_uuid,blue_athlete_uuid,winner_athlete_uuid,title,final_method,final_round,final_time
10891,15dd977e-3167-4a81-a2fe-9c08edd79491,132096,fe69c0b2-2b19-4367-8156-026d75d3d871,c3168559-d45d-458b-be2b-925b0cea9c6f,fe69c0b2-2b19-4367-8156-026d75d3d871,Roman Kopylov vs Josh Fremd,KO/TKO,2,4:44
10893,baf9fd29-67da-4d6a-ac69-536473334e13,133199,90006eee-8ca3-4972-b53f-966aa88e3179,1e802c6c-77bd-449f-94fd-c9de4b14df50,90006eee-8ca3-4972-b53f-966aa88e3179,Nasrat Haqparast vs Landon Quinones,Decision - Unanimous,3,5:00
10896,2232b461-cad3-42a6-8758-2d4239ca295c,132095,bd522ec9-f4b1-406d-8649-89368e8c6929,c053b998-4b8f-4063-a248-1b600d3ffa94,bd522ec9-f4b1-406d-8649-89368e8c6929,Loopy Godinez vs Elise Reed,Submission,2,3:38
10898,4a85499b-a8b5-452c-9683-80e83a7fcc99,133435,36a4edb0-bdf0-4ed2-b2ec-861cffa8a694,8f0e0da3-df32-40db-93e3-f4085dcd2071,36a4edb0-bdf0-4ed2-b2ec-861cffa8a694,Nate Maness vs Mateus Mendonça,KO/TKO,1,4:40
10901,21ea30be-11a0-4ef3-bf3b-f73aafbfc468,133280,27402c51-50c0-4361-b5d2-04eb0b6223ee,0388de89-3cfa-42f4-bc2e-7ac39d2f15a0,0388de89-3cfa-42f4-bc2e-7ac39d2f15a0,Sodiq Yusuff vs Edson Barboza,Decision - Unanimous,5,5:00
10902,85ebffb6-4599-4c14-9c41-87970d0b2ee5,133285,c092b829-14e9-4c1d-bc6d-5b7d597ceb93,9289b1c2-75a9-4bc0-8611-39b91590bfd6,c092b829-14e9-4c1d-bc6d-5b7d597ceb93,Jéssica Andrade vs Mackenzie Dern,KO/TKO,2,3:15
10906,625059b8-01cb-4125-b851-3863bd86fa9e,133283,b6bd4db4-cee6-4bc1-86ad-083c61fb35cd,858c4858-6483-4e86-b7a8-7b7efeefab6f,b6bd4db4-cee6-4bc1-86ad-083c61fb35cd,Joshua Van vs Kevin Borjas,Decision - Unanimous,3,5:00
10917,62434740-2443-414d-b830-2960fb8fd8bd,132772,5c57e84d-1c3f-4dda-bb33-b362cdda7417,f7c7d122-f8de-4fea-af04-ab7fe32648c7,f7c7d122-f8de-4fea-af04-ab7fe32648c7,Jacob Malkoun vs Cody Brundage,DQ,1,4:15
10919,4b33faa0-43ef-46f4-8c31-076bb4dfcbe4,132098,fd848977-2936-4eb1-ad31-c86e6074159b,55923f7b-ff93-46ce-82ba-d382e256d95e,fd848977-2936-4eb1-ad31-c86e6074159b,Josefine Knutsson vs Marnic Mann,Decision - Unanimous,3,5:00
10920,c254a82c-b977-4c67-8033-22f44f48fb97,133322,24e6e3cf-fa51-4759-bc38-8b30ff11b300,00c270ea-f280-4efc-8a1e-11911e89ecec,,Magomed Ankalaev vs Johnny Walker,Could Not Continue,1,3:13
