external_fighter_url,external_fighter_name,external_birth_date,canonical_fighter_id,canonical_name,canonical_dob,match_method,review_status,match_confidence
/fighter/Scott-Adams-241,Scott Adams,1974-07-16,463a3c69-38ec-565d-9835-16d45b918951,Scott Adams,,exact_normalized_name_unique_dob_not_jointly_observed,candidate,0.95
/fighter/AJ-Agazarm-313227,A.J. Agazarm,1989-07-26,,,,,unmatched_exact_name,
/fighter/Deron-Winn-248699,Deron Winn,1989-06-13,a3b12985-3130-58c3-a70e-fffad05dffcb,Deron Winn,1989-06-13,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Ben-Saunders-10339,Ben Saunders,1983-04-13,23df212c-e7df-5caf-bc5b-d27fa9b1d236,Ben Saunders,1983-04-13,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Walter-Howard-72070,Walter Howard,,,,,,unmatched_exact_name,
/fighter/Tatsuya-Kawajiri-1326,Tatsuya Kawajiri,1978-05-08,0eca2ef0-ca51-580d-9858-c929e565eae4,Tatsuya Kawajiri,1978-05-08,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Stephanie-Egger-206859,Stephanie Egger,1988-08-12,3a891619-b4b5-5798-8b97-4ad6f999f35b,Stephanie Egger,1988-08-12,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Denis-Kang-935,Denis Kang,1977-09-17,d768f2fc-5c5f-51d6-85b7-8f1ce24e1c03,Denis Kang,1977-09-17,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Asuka-Tsubaki-302773,Asuka Tsubaki,,,,,,unmatched_exact_name,
/fighter/Elvis-Sinosic-281,Elvis Sinosic,1971-02-13,607475ae-6bab-5aac-b11a-249d45949951,Elvis Sinosic,1971-02-13,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Gao-Bo-222523,Gao Bo,,,,,,unmatched_exact_name,
/fighter/Omari-Akhmedov-83462,Omari Akhmedov,1987-10-12,809edb53-89df-5e1e-9001-e2cc542d2be2,Omari Akhmedov,1987-10-12,exact_normalized_name_plus_exact_dob_dmy_source,trusted,1.0
/fighter/Kat-Pali-235753,Kat  Pali,1994-03-04,,,,,unmatched_exact_name,
