ranking_fighter_name,normalized_name,greco_fighter_name,greco_fighter_url,match_method,review_status
Anthony Smith,anthonysmith,Anthony Smith,http://ufcstats.com/fighter-details/d4c9dcd330403612,exact_normalized_display_name_unique,candidate
Antonina Shevchenko,antoninashevchenko,Antonina Shevchenko,http://ufcstats.com/fighter-details/d7338bcb141abd2c,exact_normalized_display_name_unique,candidate
Antonio Carlos Junior,antoniocarlosjunior,Antonio Carlos Junior,http://ufcstats.com/fighter-details/52e76bb4b3e852f3,exact_normalized_display_name_unique,candidate
Antonio Rodrigo Nogueira,antoniorodrigonogueira,Antonio Rodrigo Nogueira,http://ufcstats.com/fighter-details/ee9d73f4fee9cbdd,exact_normalized_display_name_unique,candidate
Antonio Silva,antoniosilva,Antonio Silva,http://ufcstats.com/fighter-details/8349d55cdecd393a,exact_normalized_display_name_unique,candidate
Ariane da Silva,arianedasilva,Ariane da Silva,http://ufcstats.com/fighter-details/6551c64fbcd1a467,exact_normalized_display_name_unique,candidate
Arman Tsarukyan,armantsarukyan,Arman Tsarukyan,http://ufcstats.com/fighter-details/eae48ff31db420c2,exact_normalized_display_name_unique,candidate
Arnold Allen,arnoldallen,Arnold Allen,http://ufcstats.com/fighter-details/040a74bb0a465c54,exact_normalized_display_name_unique,candidate
Ashlee Evans-Smith,ashleeevanssmith,Ashlee Evans-Smith,http://ufcstats.com/fighter-details/fc6e681bf6658faf,exact_normalized_display_name_unique,candidate
Askar Askarov,askaraskarov,Askar Askarov,http://ufcstats.com/fighter-details/b1d19449397541dc,exact_normalized_display_name_unique,candidate
Aspen Ladd,aspenladd,Aspen Ladd,http://ufcstats.com/fighter-details/d4691518d012b9e7,exact_normalized_display_name_unique,candidate
Asu Almabayev,asualmabayev,Asu Almabayev,http://ufcstats.com/fighter-details/8d3273573b85be09,exact_normalized_display_name_unique,candidate
Augusto Sakai,augustosakai,Augusto Sakai,http://ufcstats.com/fighter-details/441eacbe20e0e80b,exact_normalized_display_name_unique,candidate
Azamat Murzakanov,azamatmurzakanov,Azamat Murzakanov,http://ufcstats.com/fighter-details/e90a2f22417af68e,exact_normalized_display_name_unique,candidate
Barb Honchak,barbhonchak,Barb Honchak,http://ufcstats.com/fighter-details/472f6f6e6d962f40,exact_normalized_display_name_unique,candidate
Bec Rawlings,becrawlings,Bec Rawlings,http://ufcstats.com/fighter-details/907e60fd13407e1e,exact_normalized_display_name_unique,candidate
Belal Muhammad,belalmuhammad,Belal Muhammad,http://ufcstats.com/fighter-details/b1b0729d27936f2f,exact_normalized_display_name_unique,candidate
Ben Askren,benaskren,Ben Askren,http://ufcstats.com/fighter-details/0b31f87be71ebbb1,exact_normalized_display_name_unique,candidate
