article_candidate_index,article_url,article_title,article_published_time,article_candidate_rows,rows_with_unique_name_transport,rows_with_canonical_pair,rows_with_unique_event_candidate,distinct_candidate_events,intersection_event_count,intersection_event_id,unique_vote_event_count,unique_vote_top_event_id,unique_vote_top_support,unique_vote_second_support,unique_vote_unanimous,candidate_event_id,candidate_event_name,candidate_event_date,consensus_status,review_status
601,https://www.ufc.com/news/weigh-results-ufc-279,Weigh-In Results | UFC 279,2022-09-09T19:20:00-0400,13,13,13,13,1,1,b52a6e50-b857-5ad0-b311-ab7c09f92d30,1,b52a6e50-b857-5ad0-b311-ab7c09f92d30,13,0,true,b52a6e50-b857-5ad0-b311-ab7c09f92d30,UFC 279: Diaz vs. Ferguson,2022-09-10,singleton_event_intersection_unpromoted,candidate
602,https://www.ufc.com/news/weigh-results-ufc-280-oliveira-vs-makhachev,Weigh-In Results | UFC 280: Oliveira vs Makhachev,2022-10-21T12:00:00-0400,12,11,11,11,1,1,1b20bdf6-7ed3-598a-909a-36db44afbfaa,1,1b20bdf6-7ed3-598a-909a-36db44afbfaa,11,0,true,1b20bdf6-7ed3-598a-909a-36db44afbfaa,UFC 280: Oliveira vs. Makhachev,2022-10-22,singleton_event_intersection_unpromoted,candidate
603,https://www.ufc.com/news/weigh-results-ufc-282-blachowicz-vs-ankalaev,Weigh-In Results | UFC 282: Błachowicz vs Ankalaev,2022-12-09T13:09:00-0500,13,12,12,12,1,1,2c013d06-53f1-5d8b-8e2c-f3ca55d4d265,1,2c013d06-53f1-5d8b-8e2c-f3ca55d4d265,12,0,true,2c013d06-53f1-5d8b-8e2c-f3ca55d4d265,UFC 282: Blachowicz vs. Ankalaev,2022-12-10,singleton_event_intersection_unpromoted,candidate
604,https://www.ufc.com/news/weigh-results-ufc-283-teixeira-vs-hill,Weigh-In Results | UFC 283: Teixeira vs Hill,2023-01-20T10:05:42-0500,15,13,13,11,5,1,57451653-8a28-52a2-9575-cf5fa5b5285a,1,57451653-8a28-52a2-9575-cf5fa5b5285a,11,0,true,57451653-8a28-52a2-9575-cf5fa5b5285a,UFC 283: Teixeira vs. Hill,2023-01-21,singleton_event_intersection_unpromoted,candidate
605,https://www.ufc.com/news/weigh-results-ufc-286-edwards-vs-usman-3,Weigh-In Results | UFC 286: Edwards vs Usman 3,2023-03-17T04:35:46-0400,15,15,15,12,5,1,9cb5790d-1b4f-5ae4-90fd-8947a85f7219,1,9cb5790d-1b4f-5ae4-90fd-8947a85f7219,12,0,true,9cb5790d-1b4f-5ae4-90fd-8947a85f7219,UFC 286: Edwards vs. Usman 3,2023-03-18,singleton_event_intersection_unpromoted,candidate
606,https://www.ufc.com/news/weigh-results-ufc-287-pereira-vs-adesanya-2,Weigh-In Results | UFC 287: Pereira vs Adesanya 2,2023-04-07T11:45:00-0400,13,13,13,12,3,0,,2,08a2f43a-bdf3-5df8-a55e-c09fa08c1585,11,1,false,,,,competing_unique_event_votes,candidate
607,https://www.ufc.com/news/weigh-results-ufc-288-sterling-vs-cejudo,Weigh-In Results | UFC 288: Sterling vs Cejudo,2023-05-05T10:25:00-0400,12,12,12,12,1,1,ab33e18e-ab56-5549-9fdd-68e705f23c29,1,ab33e18e-ab56-5549-9fdd-68e705f23c29,12,0,true,ab33e18e-ab56-5549-9fdd-68e705f23c29,UFC 288: Sterling vs. Cejudo,2023-05-06,singleton_event_intersection_unpromoted,candidate
608,https://www.ufc.com/news/weigh-results-ufc-289-nunes-vs-aldana,Weigh-In Results | UFC 289: Nunes vs Aldana,2023-06-09T13:50:00-0400,11,11,11,11,1,1,e29a3c73-aa09-5185-9010-cdc810317a1c,1,e29a3c73-aa09-5185-9010-cdc810317a1c,11,0,true,e29a3c73-aa09-5185-9010-cdc810317a1c,UFC 289: Nunes vs. Aldana,2023-06-10,singleton_event_intersection_unpromoted,candidate
609,https://www.ufc.com/news/weigh-results-ufc-290-volkanovski-vs-rodriguez,Weigh-In Results | UFC 290: Volkanovski vs Rodriguez,2023-07-07T12:00:08-0400,14,14,13,11,3,1,09e03d3a-c9de-59d7-9f3c-9960705e60fc,1,09e03d3a-c9de-59d7-9f3c-9960705e60fc,11,0,true,09e03d3a-c9de-59d7-9f3c-9960705e60fc,UFC 290: Volkanovski vs. Rodriguez,2023-07-08,singleton_event_intersection_unpromoted,candidate
610,https://www.ufc.com/news/weigh-results-ufc-294-makhachev-vs-volkanovski-2,Weigh-In Results | UFC 294: Makhachev vs Volkanovski 2,2023-10-20T02:36:00-0400,13,12,12,10,3,1,f13f9cea-0ff9-5134-b37c-3bbda61c3dee,1,f13f9cea-0ff9-5134-b37c-3bbda61c3dee,10,0,true,f13f9cea-0ff9-5134-b37c-3bbda61c3dee,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21,singleton_event_intersection_unpromoted,candidate
611,https://www.ufc.com/news/weigh-results-ufc-295-prochazka-vs-pereira,Weigh-In Results | UFC 295: Procházka vs Pereira,2023-11-10T10:57:00-0500,13,12,12,11,2,1,6d3f03ab-49dd-5bce-9f4b-897590ea3bbd,1,6d3f03ab-49dd-5bce-9f4b-897590ea3bbd,11,0,true,6d3f03ab-49dd-5bce-9f4b-897590ea3bbd,UFC 295: Prochazka vs. Pereira,2023-11-11,singleton_event_intersection_unpromoted,candidate
612,https://www.ufc.com/news/weigh-results-ufc-297-strickland-vs-du-plessis,Weigh-In Results | UFC 297: Strickland vs Du Plessis,2024-01-19T10:26:05-0500,12,12,12,11,2,1,01fd0234-ade1-59b2-b69e-b968a84c8b63,1,01fd0234-ade1-59b2-b69e-b968a84c8b63,11,0,true,01fd0234-ade1-59b2-b69e-b968a84c8b63,UFC 297: Strickland vs. Du Plessis,2024-01-20,singleton_event_intersection_unpromoted,candidate
613,https://www.ufc.com/news/weigh-results-ufc-299-omalley-vs-vera-2,Weigh-In Results | UFC 299: O'Malley vs Vera 2,2024-03-08T09:59:08-0500,13,12,12,10,3,1,da24b229-6303-576d-a041-87a41dd59055,1,da24b229-6303-576d-a041-87a41dd59055,10,0,true,da24b229-6303-576d-a041-87a41dd59055,UFC 299: O'Malley vs. Vera 2,2024-03-09,singleton_event_intersection_unpromoted,candidate
614,https://www.ufc.com/news/weigh-results-ufc-302-makhachev-vs-poirier,Weigh-In Results | UFC 302: Makhachev vs Poirier,2024-05-31T10:00:00-0400,11,11,11,10,2,1,4c45f6c9-4612-5c18-97eb-3186beeb6644,1,4c45f6c9-4612-5c18-97eb-3186beeb6644,10,0,true,4c45f6c9-4612-5c18-97eb-3186beeb6644,UFC 302: Makhachev vs. Poirier,2024-06-01,singleton_event_intersection_unpromoted,candidate
615,https://www.ufc.com/news/weigh-results-ufc-303-pereira-vs-prochazka-2,Weigh-In Results | UFC 303: Pereira vs Procházka 2,2024-06-28T12:00:00-0400,12,10,10,9,3,0,,2,e63d5e59-d639-53ec-a8c3-3bf9db891c12,8,1,false,,,,competing_unique_event_votes,candidate
616,https://www.ufc.com/news/weigh-results-ufc-305-du-plessis-vs-adesanya,Weigh-In Results | UFC 305: Du Plessis vs Adesanya,2024-08-16T18:00:00-0400,12,12,12,12,1,1,77c44064-acb8-5509-b569-d2449bb29cf1,1,77c44064-acb8-5509-b569-d2449bb29cf1,12,0,true,77c44064-acb8-5509-b569-d2449bb29cf1,UFC 305: Du Plessis vs. Adesanya,2024-08-17,singleton_event_intersection_unpromoted,candidate
617,https://www.ufc.com/news/weigh-results-ufc-306-omalley-vs-dvalishvili-riyadh-season-noche,Weigh-In Results | UFC 306: O'Malley vs Dvalishvili,2024-09-13T14:11:00-0400,10,9,9,8,2,1,390b775b-c3b8-5508-8c32-768c456e6f80,1,390b775b-c3b8-5508-8c32-768c456e6f80,8,0,true,390b775b-c3b8-5508-8c32-768c456e6f80,UFC 306: Riyadh Season Noche UFC,2024-09-14,singleton_event_intersection_unpromoted,candidate
618,https://www.ufc.com/news/weigh-results-ufc-307-pereira-vs-rountree-jr,Weigh-In Results | UFC 307: Pereira vs Rountree Jr.,2024-10-04T12:00:00-0400,12,12,12,12,1,1,8b90a440-f1c3-5fe1-b649-69226f9523b6,1,8b90a440-f1c3-5fe1-b649-69226f9523b6,12,0,true,8b90a440-f1c3-5fe1-b649-69226f9523b6,UFC 307: Pereira vs. Rountree Jr.,2024-10-05,singleton_event_intersection_unpromoted,candidate
619,https://www.ufc.com/news/weigh-results-ufc-308-topuria-vs-holloway,Weigh-In Results | UFC 308: Topuria vs Holloway,2024-10-25T02:44:00-0400,13,12,11,11,1,1,a8f2fee6-cfa8-558b-9ca3-252edee28698,1,a8f2fee6-cfa8-558b-9ca3-252edee28698,11,0,true,a8f2fee6-cfa8-558b-9ca3-252edee28698,UFC 308: Topuria vs. Holloway,2024-10-26,singleton_event_intersection_unpromoted,candidate
620,https://www.ufc.com/news/weigh-results-ufc-atlantic-city-fight-night-blanchfield-vs-fiorot,Weigh-In Results | UFC Atlantic City,2024-03-29T11:10:00-0400,14,13,12,12,1,1,d2bb7fd3-511d-5156-9ed0-b50cabfd478d,1,d2bb7fd3-511d-5156-9ed0-b50cabfd478d,12,0,true,d2bb7fd3-511d-5156-9ed0-b50cabfd478d,UFC Fight Night: Blanchfield vs. Fiorot,2024-03-30,singleton_event_intersection_unpromoted,candidate
621,https://www.ufc.com/news/weigh-results-ufc-austin-fight-night-dariush-tsarukyan,Weigh-In Results | UFC Austin,2023-12-01T11:55:23-0500,12,10,10,10,1,1,a209329c-a577-505e-89d5-845621a23efe,1,a209329c-a577-505e-89d5-845621a23efe,10,0,true,a209329c-a577-505e-89d5-845621a23efe,UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,singleton_event_intersection_unpromoted,candidate
622,https://www.ufc.com/news/weigh-results-ufc-bjj-1-musumeci-vs-gabriel,Weigh-In Results | UFC BJJ 1: Musumeci vs Gabriel,2025-06-24T14:27:15-0400,8,0,0,0,0,0,,0,,0,0,false,,,,no_resolvable_pair_event,candidate
623,https://www.ufc.com/news/weigh-results-ufc-bjj-2-tackett-vs-canuto,Weigh-In Results | UFC BJJ 2: Tackett vs Canuto,2025-07-30T12:00:18-0400,8,0,0,0,0,0,,0,,0,0,false,,,,no_resolvable_pair_event,candidate
624,https://www.ufc.com/news/weigh-results-ufc-fight-night-allen-vs-craig-vegas-82,Weigh-In Results | UFC Fight Night: Allen vs Craig,2023-11-17T13:40:35-0500,14,14,14,14,1,1,9ae1b215-cf0d-53e4-9591-45bd0305205a,1,9ae1b215-cf0d-53e4-9591-45bd0305205a,14,0,true,9ae1b215-cf0d-53e4-9591-45bd0305205a,UFC Fight Night: Allen vs. Craig,2023-11-18,singleton_event_intersection_unpromoted,candidate
625,https://www.ufc.com/news/weigh-results-ufc-fight-night-allen-vs-curtis-2-vegas-90,Weigh-In Results | UFC Fight Night: Allen vs Curtis 2,2024-04-05T13:55:00-0400,13,13,12,11,2,1,e00353ed-516b-523f-aafe-3a8df744d1bb,1,e00353ed-516b-523f-aafe-3a8df744d1bb,11,0,true,e00353ed-516b-523f-aafe-3a8df744d1bb,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,singleton_event_intersection_unpromoted,candidate
626,https://www.ufc.com/news/weigh-results-ufc-fight-night-andrade-vs-blanchfield-vegas-69,Weigh-In Results | UFC Fight Night: Andrade vs Blanchfield,2023-02-17T09:30:28-0500,11,11,11,11,1,1,6e09468f-df89-5576-8c37-43faea4ea809,1,6e09468f-df89-5576-8c37-43faea4ea809,11,0,true,6e09468f-df89-5576-8c37-43faea4ea809,UFC Fight Night: Andrade vs. Blanchfield,2023-02-18,singleton_event_intersection_unpromoted,candidate
627,https://www.ufc.com/news/weigh-results-ufc-fight-night-ankalaev-vs-walker-2,Weigh-In Results | UFC Fight Night: Ankalaev vs Walker 2,2024-01-12T13:21:00-0500,12,11,11,10,3,0,,2,a959dc96-7bd3-5f1d-b309-3cead2a640aa,9,1,false,,,,competing_unique_event_votes,candidate
628,https://www.ufc.com/news/weigh-results-ufc-fight-night-aspinall-vs-tybura-london,Weigh-In Results | UFC Fight Night: Aspinall vs Tybura,2023-07-21T02:59:00-0400,15,15,15,15,1,1,859bda62-41b1-59c4-8c9f-6ef89917d0b4,1,859bda62-41b1-59c4-8c9f-6ef89917d0b4,15,0,true,859bda62-41b1-59c4-8c9f-6ef89917d0b4,UFC Fight Night: Aspinall vs. Tybura,2023-07-22,singleton_event_intersection_unpromoted,candidate
629,https://www.ufc.com/news/weigh-results-ufc-fight-night-barboza-vs-chikadze,Weigh-In Results | UFC Fight Night: Barboza vs. Chikadze,2021-08-26T15:09:29-0400,12,12,12,12,1,1,8ad58ce2-7ffe-54d0-b07d-2fc661e104e0,1,8ad58ce2-7ffe-54d0-b07d-2fc661e104e0,12,0,true,8ad58ce2-7ffe-54d0-b07d-2fc661e104e0,UFC Fight Night: Barboza vs. Chikadze,2021-08-28,singleton_event_intersection_unpromoted,candidate
630,https://www.ufc.com/news/weigh-results-ufc-fight-night-barboza-vs-murphy-vegas-92,Weigh-In Results | UFC Fight Night: Barboza vs Murphy,2024-05-17T12:45:12-0400,12,12,12,12,1,1,80a91814-3944-5c86-9acb-1e79393b4663,1,80a91814-3944-5c86-9acb-1e79393b4663,12,0,true,80a91814-3944-5c86-9acb-1e79393b4663,UFC Fight Night: Barboza vs. Murphy,2024-05-18,singleton_event_intersection_unpromoted,candidate
