archive_key,candidate_fight_id,candidate_event_name,candidate_event_date,image_signature,canonical_result,canonical_finish_round,canonical_scheduled_rounds,sample_reason,page_width,page_height,word_count,score_token_count,score_y_cluster_count,score_tokens_json,label_tokens_json,fighter_anchor_tokens_json,lower_grid_lines_json
088473c71baab23ea2675ca7.jpg,15bbaecc-805a-55ba-9ada-baf90fb23559,UFC Fight Night: Holloway vs. Kattar,2021-01-16,jpeg,win_loss,1,3,year_2021,804,568,44,0,0,[],[],"[{""text"":""SANTIAGO"",""x"":0.4391,""y"":0.103,""w"":0.0945,""h"":0.0264,""conf"":93.3},{""text"":""PONZINIBBIO"",""x"":0.5541,""y"":0.103,""w"":0.1231,""h"":0.0264,""conf"":92.4}]",[]
0dca621cdc8a4331a2e01ab9.png,bef1d631-3c97-5780-ae11-2835dc61e51c,UFC Fight Night: Whittaker vs. De Ridder,2025-07-26,png,win_loss,2,3,year_2025,804,482,66,0,0,[],"[{""text"":""Referee"",""x"":0.6287,""y"":0.1753,""w"":0.041,""h"":0.0145,""conf"":0.0}]","[{""text"":""AMANDA"",""x"":0.4335,""y"":0.0913,""w"":0.0908,""h"":0.0332,""conf"":93.9},{""text"":""RIBAS"",""x"":0.5149,""y"":0.0923,""w"":0.0597,""h"":0.0353,""conf"":95.0},{""text"":""TABATHA"",""x"":0.8843,""y"":0.0913,""w"":0.092,""h"":0.0332,""conf"":92.4},{""text"":""RICCI"",""x"":0.9627,""y"":0.0923,""w"":0.0498,""h"":0.0353,""conf"":92.8},{""text"":""TABATHA"",""x"":0.2848,""y"":0.3444,""w"":0.0423,""h"":0.0166,""conf"":75.0},{""text"":""RICCI"",""x"":0.2886,""y"":0.3724,""w"":0.0323,""h"":0.0228,""conf"":65.7},{""text"":""riBAS"",""x"":0.3843,""y"":0.36,""w"":0.0423,""h"":0.0477,""conf"":0.0},{""text"":""RICCI"",""x"":0.6244,""y"":0.3724,""w"":0.0323,""h"":0.0228,""conf"":49.2},{""text"":""RICCI"",""x"":0.9602,""y"":0.3724,""w"":0.0323,""h"":0.0228,""conf"":42.7}]",[]
0ed1428a522b314a5c743d7c.jpeg,267042a6-3f21-5f8a-9da8-4dc4b6745213,UFC Fight Night: Gane vs. Spivac,2023-09-02,jpeg,win_loss,3,3,year_2023,804,568,54,0,0,[],[],"[{""text"":""MANON"",""x"":0.482,""y"":0.103,""w"":0.0709,""h"":0.0264,""conf"":92.4},{""text"":""FIOROT"",""x"":0.5585,""y"":0.103,""w"":0.0672,""h"":0.0264,""conf"":92.5},{""text"":""ROSE"",""x"":0.8103,""y"":0.103,""w"":0.0485,""h"":0.0264,""conf"":92.1},{""text"":""NAMAJUNAS"",""x"":0.8993,""y"":0.1074,""w"":0.1169,""h"":0.0352,""conf"":92.0},{""text"":""Manon"",""x"":0.0709,""y"":0.3028,""w"":0.0348,""h"":0.0141,""conf"":49.5},{""text"":""ROSE"",""x"":0.3022,""y"":0.3028,""w"":0.0249,""h"":0.0141,""conf"":86.4},{""text"":""FIOROT"",""x"":0.0752,""y"":0.3266,""w"":0.0435,""h"":0.0158,""conf"":87.6},{""text"":""NAMAJUNAS"",""x"":0.2786,""y"":0.3292,""w"":0.0721,""h"":0.0211,""conf"":61.5},{""text"":""FIOROT"",""x"":0.7071,""y"":0.3266,""w"":0.0435,""h"":0.0158,""conf"":66.9}]",[]
1026775bbe489e7050fa4312.jpg,3e507082-4f24-54a2-b000-64cbc6cf7f14,UFC Fight Night: Covington vs. Woodley,2020-09-19,jpeg,win_loss,1,3,year_2020,804,568,107,0,0,[],"[{""text"":""POINT"",""x"":0.0578,""y"":0.7148,""w"":0.0386,""h"":0.0493,""conf"":89.1},{""text"":""DEDUCTIONS"",""x"":0.1175,""y"":0.7148,""w"":0.0709,""h"":0.0493,""conf"":81.6},{""text"":""NOTES"",""x"":0.3775,""y"":0.7148,""w"":0.0361,""h"":0.0176,""conf"":72.1},{""text"":""RESULT"",""x"":0.7058,""y"":0.7271,""w"":0.041,""h"":0.0176,""conf"":92.9},{""text"":""round"",""x"":0.7009,""y"":0.8046,""w"":0.0311,""h"":0.0141,""conf"":91.0}]","[{""text"":""MAYRA"",""x"":0.4434,""y"":0.103,""w"":0.0684,""h"":0.0264,""conf"":93.2},{""text"":""BUENO"",""x"":0.5162,""y"":0.103,""w"":0.0647,""h"":0.0264,""conf"":93.9},{""text"":""SILVA"",""x"":0.5796,""y"":0.103,""w"":0.0498,""h"":0.0264,""conf"":96.7},{""text"":""MARA"",""x"":0.75,""y"":0.103,""w"":0.0572,""h"":0.0264,""conf"":95.7},{""text"":""ROMERO"",""x"":0.8259,""y"":0.103,""w"":0.0821,""h"":0.0264,""conf"":93.2},{""text"":""BORELLA"",""x"":0.916,""y"":0.103,""w"":0.0833,""h"":0.0264,""conf"":90.6},{""text"":""ROMERO"",""x"":0.2313,""y"":0.3275,""w"":0.0522,""h"":0.0176,""conf"":77.6},{""text"":""BORELLA"",""x"":0.2892,""y"":0.3169,""w"":0.0535,""h"":0.0387,""conf"":92.1},{""text"":""BUENO"",""x"":0.3893,""y"":0.3169,""w"":0.0398,""h"":0.0387,""conf"":67.1},{""text"":""ROMERO"",""x"":0.5473,""y"":0.3275,""w"":0.0522,""h"":0.0176,""conf"":59.7},{""text"":""BORELLA"",""x"":0.6051,""y"":0.3169,""w"":0.0535,""h"":0.0387,""conf"":90.7},{""text"":""BUENO"",""x"":0.7052,""y"":0.3169,""w"":0.0398,""h"":0.0387,""conf"":68.9},{""text"":""ROMERO"",""x"":0.8632,""y"":0.3275,""w"":0.0522,""h"":0.0176,""conf"":71.9},{""text"":""BORELLA"",""x"":0.9204,""y"":0.3169,""w"":0.0522,""h"":0.0387,""conf"":92.3},{""text"":""\u201cMayra"",""x"":0.7021,""y"":0.7764,""w"":0.0336,""h"":0.0176,""conf"":42.1},{""text"":""Bueno"",""x"":0.7419,""y"":0.7746,""w"":0.0361,""h"":0.0141,""conf"":94.6},{""text"":""Silva"",""x"":0.7774,""y"":0.7746,""w"":0.0274,""h"":0.0141,""conf"":64.2}]","[{""y"":0.594,""x_min"":0.148,""x_max"":0.8483,""text"":""[wre ce] [oc |""},{""y"":0.6268,""x_min"":0.1132,""x_max"":0.8657,""text"":""JUNICHIRO KAMIJO DAVE HAGEN \u2018SAL D'AMATO""},{""y"":0.718,""x_min"":0.0386,""x_max"":0.7264,""text"":""POINT DEDUCTIONS NOTES RESULT""},{""y"":0.7757,""x_min"":0.6853,""x_max"":0.9428,""text"":""\u201cMayra Bueno Silva won by submission 2:20 of""},{""y"":0.8048,""x_min"":0.6853,""x_max"":0.7823,""text"":""round 1 ~ Armbar.""}]"
10a33011f2282af5f7f55c2c.jpg,e1b6931f-ab8a-50a9-9f1b-d48d5b3c1f5e,UFC 330: Makhachev vs. Machado Garry,2026-08-15,jpeg,win_loss,3,3,year_2026,804,497,58,0,0,[],"[{""text"":""Referee"",""x"":0.7469,""y"":0.164,""w"":0.041,""h"":0.0141,""conf"":62.1}]","[{""text"":""LUCAS"",""x"":0.8346,""y"":0.0835,""w"":0.0622,""h"":0.0342,""conf"":96.8},{""text"":""FERNANDO"",""x"":0.9279,""y"":0.0845,""w"":0.1095,""h"":0.0322,""conf"":95.5},{""text"":""RAFAEL"",""x"":0.0417,""y"":0.328,""w"":0.0361,""h"":0.0161,""conf"":19.4},{""text"":""RAFAEL"",""x"":0.7121,""y"":0.328,""w"":0.0361,""h"":0.0161,""conf"":67.7},{""text"":""TOBIAS"",""x"":0.0454,""y"":0.3561,""w"":0.046,""h"":0.0201,""conf"":82.4},{""text"":""FERNANDO"",""x"":0.2662,""y"":0.3561,""w"":0.0697,""h"":0.0201,""conf"":96.4},{""text"":""TOBIAS"",""x"":0.3806,""y"":0.3561,""w"":0.0448,""h"":0.0201,""conf"":94.3},{""text"":""FERNANDO"",""x"":0.602,""y"":0.3561,""w"":0.0697,""h"":0.0201,""conf"":93.8},{""text"":""TOBIAS"",""x"":0.7158,""y"":0.3561,""w"":0.0435,""h"":0.0201,""conf"":95.8},{""text"":""FERNANDO"",""x"":0.9366,""y"":0.3561,""w"":0.0697,""h"":0.0201,""conf"":95.1}]",[]
13e2e75c0bf52ea10abedd20.jpg,27d9ad46-0045-501c-92cb-decdceac2328,UFC Fight Night: Hermansson vs. Vettori,2020-12-05,jpeg,win_loss,5,5,year_2020,804,568,107,15,5,"[{""text"":""10"",""x"":0.6095,""y"":0.4173,""w"":0.0124,""h"":0.0176,""conf"":91.5},{""text"":""10"",""x"":0.926,""y"":0.4173,""w"":0.0137,""h"":0.0176,""conf"":94.4},{""text"":""10"",""x"":0.2935,""y"":0.4595,""w"":0.0124,""h"":0.0176,""conf"":80.3},{""text"":""8"",""x"":0.3887,""y"":0.4595,""w"":0.0062,""h"":0.0176,""conf"":61.3},{""text"":""10"",""x"":0.6095,""y"":0.4595,""w"":0.0124,""h"":0.0176,""conf"":86.3},{""text"":""10"",""x"":0.926,""y"":0.4595,""w"":0.0137,""h"":0.0176,""conf"":94.3},{""text"":""10"",""x"":0.0734,""y"":0.5026,""w"":0.0124,""h"":0.0158,""conf"":95.6},{""text"":""10"",""x"":0.3893,""y"":0.5026,""w"":0.0124,""h"":0.0158,""conf"":92.4},{""text"":""9"",""x"":0.6095,""y"":0.5026,""w"":0.0075,""h"":0.0158,""conf"":70.0},{""text"":""9"",""x"":0.9254,""y"":0.5026,""w"":0.0075,""h"":0.0158,""conf"":72.5},{""text"":""10"",""x"":0.6095,""y"":0.5458,""w"":0.0124,""h"":0.0176,""conf"":93.0},{""text"":""10"",""x"":0.926,""y"":0.5458,""w"":0.0137,""h"":0.0176,""conf"":93.5},{""text"":""10"",""x"":0.2935,""y"":0.5898,""w"":0.0124,""h"":0.0176,""conf"":88.1},{""text"":""10"",""x"":0.6095,""y"":0.5898,""w"":0.0124,""h"":0.0176,""conf"":95.9},{""text"":""10"",""x"":0.9254,""y"":0.5898,""w"":0.0124,""h"":0.0176,""conf"":94.3}]","[{""text"":""POINT"",""x"":0.0591,""y"":0.8028,""w"":0.041,""h"":0.0493,""conf"":92.2},{""text"":""DEDUCTIONS"",""x"":0.1175,""y"":0.8028,""w"":0.0709,""h"":0.0493,""conf"":89.1},{""text"":""\u2018NOTES"",""x"":0.3769,""y"":0.8019,""w"":0.0373,""h"":0.0158,""conf"":50.4},{""text"":""RESULT"",""x"":0.7058,""y"":0.8151,""w"":0.041,""h"":0.0176,""conf"":93.0}]","[{""text"":""JACK"",""x"":0.4303,""y"":0.1065,""w"":0.0448,""h"":0.0335,""conf"":93.3},{""text"":""HERMANSSON"",""x"":0.5255,""y"":0.103,""w"":0.1331,""h"":0.0264,""conf"":92.1},{""text"":""MARVIN"",""x"":0.834,""y"":0.103,""w"":0.0759,""h"":0.0264,""conf"":93.2},{""text"":""VETTORI"",""x"":0.9173,""y"":0.103,""w"":0.0784,""h"":0.0264,""conf"":92.7},{""text"":""HERMANSSON"",""x"":0.217,""y"":0.1356,""w"":0.148,""h"":0.0176,""conf"":83.9},{""text"":""VETTORI"",""x"":0.2711,""y"":0.1356,""w"":0.0473,""h"":0.0493,""conf"":48.7},{""text"":""MARVIN"",""x"":0.296,""y"":0.3046,""w"":0.0373,""h"":0.0141,""conf"":2.7},{""text"":""\u2018MARVIN"",""x"":0.6119,""y"":0.3046,""w"":0.0373,""h"":0.0141,""conf"":51.4},{""text"":""\u2018MARVIN"",""x"":0.9279,""y"":0.3046,""w"":0.0373,""h"":0.0141,""conf"":56.4},{""text"":""vETTORI"",""x"":0.6063,""y"":0.3275,""w"":0.0485,""h"":0.0176,""conf"":48.0},{""text"":""vETTORI"",""x"":0.9216,""y"":0.3275,""w"":0.0473,""h"":0.0176,""conf"":47.2},{""text"":""Marvin"",""x"":0.7046,""y"":0.8627,""w"":0.0386,""h"":0.0141,""conf"":92.7},{""text"":""Vettori"",""x"":0.7469,""y"":0.8627,""w"":0.0386,""h"":0.0141,""conf"":87.7}]","[{""y"":0.6322,""x_min"":0.0945,""x_max"":0.903,""text"":""46 oa 49 46 ea 49 a 43""},{""y"":0.7144,""x_min"":0.1281,""x_max"":0.8868,""text"":""DEREK CLEARY \u2018SAL D'AMATO JUNICHIRO KAMIJO.""},{""y"":0.8056,""x_min"":0.0386,""x_max"":0.7264,""text"":""POINT DEDUCTIONS \u2018NOTES RESULT""},{""y"":0.8632,""x_min"":0.6853,""x_max"":0.9303,""text"":""Marvin Vettori won by Unanimous Decision""}]"
18566ac7a3a2fe21a7657885.jpeg,fd228746-4287-50aa-b5c2-97e2cb863a70,UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,jpeg,win_loss,2,3,year_2023,804,568,57,0,0,[],[],"[{""text"":""RODOLFO"",""x"":0.4596,""y"":0.103,""w"":0.0858,""h"":0.0264,""conf"":91.4},{""text"":""BELLATO"",""x"":0.5491,""y"":0.103,""w"":0.0808,""h"":0.0264,""conf"":88.8},{""text"":""POTIERIA"",""x"":0.9148,""y"":0.103,""w"":0.0858,""h"":0.0264,""conf"":92.8},{""text"":""\u2018RODOLFO"",""x"":0.7065,""y"":0.3046,""w"":0.0448,""h"":0.0141,""conf"":16.0},{""text"":""BELLATO"",""x"":0.0784,""y"":0.3275,""w"":0.0498,""h"":0.0176,""conf"":88.0},{""text"":""BELLATO"",""x"":0.393,""y"":0.3275,""w"":0.0498,""h"":0.0176,""conf"":72.9},{""text"":""POTIERIA"",""x"":0.6032,""y"":0.3275,""w"":0.0547,""h"":0.0176,""conf"":87.5},{""text"":""BELLATO"",""x"":0.7102,""y"":0.3275,""w"":0.0498,""h"":0.0176,""conf"":88.5}]",[]
18838c0941537e45b0418131.jpeg,0c0e9975-532f-5b6c-8c9f-0020149a98c3,UFC Fight Night: Almeida vs. Lewis,2023-11-04,jpeg,win_loss,1,3,year_2023,804,568,79,1,1,"[{""text"":""7"",""x"":0.5491,""y"":0.3644,""w"":0.0211,""h"":0.0106,""conf"":14.9}]","[{""text"":""POINT"",""x"":0.0578,""y"":0.7148,""w"":0.0386,""h"":0.0493,""conf"":77.3},{""text"":""DEDUCTIONS"",""x"":0.1188,""y"":0.7148,""w"":0.0684,""h"":0.0493,""conf"":71.9},{""text"":""NOTES"",""x"":0.3775,""y"":0.7148,""w"":0.0361,""h"":0.0176,""conf"":79.4},{""text"":""RESULT"",""x"":0.7058,""y"":0.7271,""w"":0.041,""h"":0.0176,""conf"":92.0}]","[{""text"":""ELVES"",""x"":0.467,""y"":0.103,""w"":0.0535,""h"":0.0264,""conf"":93.2},{""text"":""BRENER"",""x"":0.5379,""y"":0.103,""w"":0.0759,""h"":0.0264,""conf"":92.8},{""text"":""KAYNAN"",""x"":0.7668,""y"":0.103,""w"":0.0784,""h"":0.0264,""conf"":91.5},{""text"":""KRUSCHEWSKY"",""x"":0.885,""y"":0.103,""w"":0.1455,""h"":0.0264,""conf"":83.5},{""text"":""BRENER"",""x"":0.0771,""y"":0.3169,""w"":0.0473,""h"":0.0387,""conf"":41.0},{""text"":""BRENER"",""x"":0.3924,""y"":0.3275,""w"":0.0485,""h"":0.0176,""conf"":50.0},{""text"":""BRENER"",""x"":0.709,""y"":0.3169,""w"":0.0473,""h"":0.0387,""conf"":67.0},{""text"":""KRUSCHEWSKY"",""x"":0.9017,""y"":0.3275,""w"":0.0896,""h"":0.0176,""conf"":89.8},{""text"":""Brener"",""x"":0.7009,""y"":0.7764,""w"":0.041,""h"":0.0493,""conf"":91.1}]","[{""y"":0.5951,""x_min"":0.4677,""x_max"":0.5323,""text"":""[ave noc |""},{""y"":0.6259,""x_min"":0.1057,""x_max"":0.8856,""text"":""ALESSANDRO VIEIRA \u2018SAL D'AMATO HALLISON PONTES""},{""y"":0.718,""x_min"":0.0386,""x_max"":0.7264,""text"":""POINT DEDUCTIONS NOTES RESULT""},{""y"":0.7757,""x_min"":0.6803,""x_max"":0.842,""text"":""Brener wins by KO - RI 401""}]"
1e3811380574d61624efbf81.jpg,dedf4087-58a0-50e5-8665-9f53814e4408,UFC Fight Night: Nzechukwu vs. Cutelaba,2022-11-19,jpeg,win_loss,3,3,year_2022,804,568,116,10,3,"[{""text"":""10"",""x"":0.0734,""y"":0.4164,""w"":0.0124,""h"":0.0158,""conf"":95.7},{""text"":""9"",""x"":0.2935,""y"":0.4164,""w"":0.0075,""h"":0.0158,""conf"":63.9},{""text"":""10"",""x"":0.3893,""y"":0.4164,""w"":0.0124,""h"":0.0158,""conf"":95.2},{""text"":""8"",""x"":0.6088,""y"":0.4164,""w"":0.0062,""h"":0.0158,""conf"":48.4},{""text"":""10"",""x"":0.9254,""y"":0.4164,""w"":0.0124,""h"":0.0158,""conf"":94.8},{""text"":""10"",""x"":0.6101,""y"":0.4595,""w"":0.0137,""h"":0.0176,""conf"":94.0},{""text"":""10"",""x"":0.9254,""y"":0.4595,""w"":0.0124,""h"":0.0176,""conf"":88.6},{""text"":""10"",""x"":0.2942,""y"":0.5026,""w"":0.0137,""h"":0.0158,""conf"":92.3},{""text"":""10"",""x"":0.6101,""y"":0.5026,""w"":0.0137,""h"":0.0158,""conf"":94.0},{""text"":""10"",""x"":0.9254,""y"":0.5026,""w"":0.0124,""h"":0.0158,""conf"":95.4}]","[{""text"":""POINT"",""x"":0.0609,""y"":0.7148,""w"":0.0348,""h"":0.0176,""conf"":74.8},{""text"":""DEDUCTIONS"",""x"":0.1175,""y"":0.7148,""w"":0.0709,""h"":0.0176,""conf"":67.3},{""text"":""NOTES"",""x"":0.3775,""y"":0.7148,""w"":0.0361,""h"":0.0176,""conf"":72.0}]","[{""text"":""CHASE"",""x"":0.4353,""y"":0.103,""w"":0.0597,""h"":0.0264,""conf"":96.7},{""text"":""SHERMAN"",""x"":0.5187,""y"":0.103,""w"":0.0945,""h"":0.0264,""conf"":96.6},{""text"":""WALDO"",""x"":0.7668,""y"":0.103,""w"":0.0659,""h"":0.0264,""conf"":92.9},{""text"":""WALDO."",""x"":0.2979,""y"":0.3046,""w"":0.0336,""h"":0.0141,""conf"":44.5},{""text"":""SHERMAN"",""x"":0.0827,""y"":0.3275,""w"":0.0585,""h"":0.0176,""conf"":96.3},{""text"":""SHERMAN"",""x"":0.3986,""y"":0.3275,""w"":0.0585,""h"":0.0176,""conf"":95.4},{""text"":""\u2018SHERMAN"",""x"":0.7139,""y"":0.3275,""w"":0.0597,""h"":0.0176,""conf"":80.9},{""text"":""Waldo"",""x"":0.7015,""y"":0.7746,""w"":0.0348,""h"":0.0141,""conf"":21.4}]","[{""y"":0.6268,""x_min"":0.1331,""x_max"":0.8868,""text"":""\u2018SAL D'AMATO JUNICHIRO KAMIO ANTHONY MANESS""},{""y"":0.7181,""x_min"":0.0435,""x_max"":0.7264,""text"":""POINT DEDUCTIONS NOTES SUT""},{""y"":0.7741,""x_min"":0.6841,""x_max"":0.9142,""text"":""Waldo Cortes-Acosta won by Unanimous""},{""y"":0.8046,""x_min"":0.6853,""x_max"":0.7326,""text"":""Decision""}]"
20e248bc574b896fddf2d942.png,c4eb7d31-9c25-5ce0-bd33-da8fc3b50120,UFC Fight Night: Usman vs. Buckley,2025-06-14,png,win_loss,3,3,year_2025,804,486,56,0,0,[],[],"[{""text"":""CODY"",""x"":0.4714,""y"":0.0905,""w"":0.0498,""h"":0.0329,""conf"":93.1},{""text"":""GARBRANDT"",""x"":0.5647,""y"":0.0905,""w"":0.1244,""h"":0.0329,""conf"":92.4},{""text"":""RAONI"",""x"":0.8414,""y"":0.0905,""w"":0.0609,""h"":0.0329,""conf"":90.6},{""text"":""BARCELOS"",""x"":0.9297,""y"":0.0905,""w"":0.1007,""h"":0.0329,""conf"":90.6}]",[]
