fightmetric_id,raw_color,round,resource_id,drupal_internal_id,reason,field,raw_value,details
11143,1,3,71ca4d6e-d104-45bb-a5a0-9d41c7f90721,59860,missing_canonical_fight_identity,,,
11174,0,1,90d80415-10b9-4402-9479-64ebfbc0e410,59884,missing_canonical_fight_identity,,,
11174,0,2,93700309-755b-4cb8-b457-abf4947f8485,59885,missing_canonical_fight_identity,,,
11174,1,1,25f4a176-83f6-4e7b-a12c-79ab819e9e75,59886,missing_canonical_fight_identity,,,
11174,1,2,4a6b7dde-9999-4ce6-8330-b636fb15f059,59887,missing_canonical_fight_identity,,,
11209,0,1,b6e49ee5-0d67-41ab-89b3-249b95627281,60062,missing_canonical_fight_identity,,,
11209,0,2,d8063d4c-de81-450b-afe9-8e4afcdd2766,60063,missing_canonical_fight_identity,,,
11209,0,3,84700b1a-31da-4363-b914-732f7f69fa15,60064,missing_canonical_fight_identity,,,
11209,1,1,3159703e-c927-458a-86b1-82be721d4224,60065,missing_canonical_fight_identity,,,
11209,1,2,2b2a4f6e-dd69-4602-872e-5f751dd82ed8,60066,missing_canonical_fight_identity,,,
11209,1,3,1c873b00-fd12-4a04-ac34-6652a2882283,60067,missing_canonical_fight_identity,,,
11358,0,1,177a368a-ab5e-4dd8-9028-5969b9f3079f,61108,missing_canonical_fight_identity,,,
11358,1,1,afff57a8-9d18-4f88-b452-6506d72ef936,61109,missing_canonical_fight_identity,,,
11414,0,1,a64b8914-53b2-410e-9961-724493125e43,61345,missing_canonical_fight_identity,,,
11414,0,2,99ab0af4-67d4-47fe-aa66-9c70ac1a9fc0,61346,missing_canonical_fight_identity,,,
11414,1,1,44c28d80-40a7-42aa-a50c-b4377430805d,61347,missing_canonical_fight_identity,,,
11414,1,2,91b19ecb-874c-465d-b525-a00048d3e054,61348,missing_canonical_fight_identity,,,
11431,0,1,9784b10a-49d9-4b8c-8f06-8c2bddd4b795,61359,missing_canonical_fight_identity,,,
11431,0,2,bdcccd6e-2e6e-40bb-bc93-aa720b6e8064,61360,missing_canonical_fight_identity,,,
11431,0,3,c4831170-3e06-4adf-8283-112b17ff274c,61361,missing_canonical_fight_identity,,,
11431,1,1,8fd3f13c-57fd-4349-bfba-14ff00f266a3,61362,missing_canonical_fight_identity,,,
11431,1,2,21b227f7-a879-434d-a5ea-a8b9bb131c22,61363,missing_canonical_fight_identity,,,
11431,1,3,68e5499c-5d60-431c-9739-331a25f9766b,61364,missing_canonical_fight_identity,,,
11456,0,1,e2d6dd31-68b5-4386-a98f-95f05979f049,61612,missing_canonical_fight_identity,,,
11456,0,2,903d3768-0fa1-4a5b-8921-bad53fa89eaf,61613,missing_canonical_fight_identity,,,
11456,1,1,e9c5d6a4-502f-4bc8-bf72-c2dda87eb14b,61614,missing_canonical_fight_identity,,,
11456,1,2,0b5faf2f-e1d9-43a1-ba8e-9df1898d2f55,61615,missing_canonical_fight_identity,,,
11487,0,1,6209e38b-95f6-4e80-860f-5d8b2efb5e43,61450,missing_canonical_fight_identity,,,
11487,0,2,ac9bfa3a-0cf1-4aac-afc7-cccce53b1873,61451,missing_canonical_fight_identity,,,
11487,0,3,7c4a57cd-0023-4867-ac37-47003d4d9ef7,61452,missing_canonical_fight_identity,,,
11487,1,1,f5e7e337-0693-4c14-bf4c-77418b626949,61453,missing_canonical_fight_identity,,,
11487,1,2,575ae2ba-53ba-4e90-91ff-a09ad75eaba8,61454,missing_canonical_fight_identity,,,
11487,1,3,00a8c545-4743-41ff-8614-ca6ff999aedd,61455,missing_canonical_fight_identity,,,
11577,0,1,032690e7-2d38-4299-a970-96bdceebad43,62009,missing_canonical_fight_identity,,,
11577,0,2,eaca559b-9af7-4bf3-9882-833bdbaf00c0,62010,missing_canonical_fight_identity,,,
11577,0,3,6c1e9315-4384-47ff-adfd-b486d3eb35ff,62011,missing_canonical_fight_identity,,,
11577,1,1,7274ac10-336e-4558-b7a1-9441363d0961,62012,missing_canonical_fight_identity,,,
11577,1,2,8549e6b6-21e3-47e8-a741-ca6157bb0990,62013,missing_canonical_fight_identity,,,
11577,1,3,e1a6593f-5918-4df1-9c43-d6756119e832,62014,missing_canonical_fight_identity,,,
11655,0,1,63c99802-273f-44d4-b097-1eee6479a25a,62656,missing_canonical_fight_identity,,,
11655,1,1,57e9c6f8-6b57-4597-9f51-18b8f9bd245e,62657,missing_canonical_fight_identity,,,
11740,0,1,8f208e6c-21f0-41a1-8d11-c972a80aa080,62668,missing_canonical_fight_identity,,,
11740,0,2,9b0c7e0a-a9b2-4902-a85f-adb7f040ecdc,62669,missing_canonical_fight_identity,,,
11740,0,3,c6ea1e59-f8b3-45d3-944b-28c0264abe43,62670,missing_canonical_fight_identity,,,
11740,1,1,7ffaec02-d6b8-475e-af81-0192ff4add65,62671,missing_canonical_fight_identity,,,
11740,1,2,96ce7f09-eece-47e3-b6b6-a334432c62e8,62672,missing_canonical_fight_identity,,,
11740,1,3,fd9ef18f-e82c-4ebb-8b70-576f6a48c8a4,62673,missing_canonical_fight_identity,,,
11771,0,1,a8cad382-60db-4035-9852-25ea21b9a43d,63200,missing_canonical_fight_identity,,,
11771,0,2,ead91a7b-1cf4-45ca-b7a3-a16698307fec,63201,missing_canonical_fight_identity,,,
11771,0,3,cc3070ef-b7d8-4653-b85d-2f08999cf570,63202,missing_canonical_fight_identity,,,
11771,1,1,ca397ab1-c2a1-440c-8424-f56b3bbbd38c,63203,missing_canonical_fight_identity,,,
11771,1,2,3810de7b-792e-45ed-af40-eb463e431091,63204,missing_canonical_fight_identity,,,
11771,1,3,77d3de9a-de58-4205-8f22-34da027e949f,63205,missing_canonical_fight_identity,,,
11780,0,1,11a50c27-9f4f-4b74-9f46-84d094942fe4,62842,missing_canonical_fight_identity,,,
11780,1,1,64f2516b-4be7-422e-b798-52a72eca8da5,62843,missing_canonical_fight_identity,,,
