fightmetric_id,corner,round,resource_id,drupal_internal_id,compared_fields,exact_fields,absolute_error_sum
4280,red,1,80adf829-601a-4836-a5c7-b1bde8c73af6,60263,18,18,0
4280,red,2,dd88c654-d854-447b-995c-3d343f286506,42221,15,15,0
4280,red,2,cda6ff45-deb5-4504-8211-3947acbb1912,60264,18,18,0
4280,red,3,7f593b39-0f8d-48a2-9c96-19f6d82e1b3e,42222,15,15,0
4280,red,3,d9530e40-79f1-4840-ae40-44da7ea53b58,60265,18,18,0
4294,red,1,1509ae2e-9809-46b3-af97-2d17b977ad19,42286,15,15,0
4294,red,1,b126cf53-1eab-43d7-8c7d-45ba5c4bbfe5,53226,18,18,0
4294,red,2,264baba7-f302-4bc6-b0c2-f090971f9d56,42287,15,15,0
4294,red,2,8433c568-86c4-4cae-80df-deec5168a823,53227,18,18,0
4294,red,3,e2a5d60a-d095-47c8-8ede-8bf17fe54aa0,42288,15,15,0
4294,red,3,09c028c8-bdfe-4f31-8556-943084ad34e8,53228,18,18,0
4312,red,1,96025914-15c6-4f38-9bc9-70acbb6cee47,42380,15,15,0
4312,red,1,325386b6-0fef-4ee3-98b8-9de359b97372,53234,18,18,0
4312,red,2,ede5c88d-17f3-4f39-8a70-b6bdcf0830a2,42381,15,15,0
4312,red,2,037ee2eb-9058-46d5-8acf-f1e8f1f76b26,53235,18,18,0
4312,red,3,38be5bc7-d380-49f7-bbf1-eacd7e10ff51,42382,15,15,0
4312,red,3,1cf7e0ac-a74a-412a-9915-fc254affaa7a,53236,18,18,0
4325,red,1,ed5034d8-aa8c-407f-b81e-266d937f762b,42458,15,15,0
4325,red,1,5bf9ecba-6605-4c31-9516-238c9fdb3dcc,60271,18,18,0
4325,red,2,910977e4-579d-4a92-8518-9cd96b69282e,42459,15,15,0
4325,red,2,dad7245a-3220-4cd6-8c9c-c43883fe27e6,60272,18,18,0
4325,red,3,f4604972-858b-4804-bafb-2ce8420fb165,42460,15,15,0
4325,red,3,34721f45-1e76-4061-8c31-cdb79bb7f393,60273,18,18,0
4344,red,1,77b41b77-8200-4df3-92bf-1b41f797ad43,42546,15,15,0
4344,red,1,35a54909-690c-4c41-9ca9-73b54da2df74,53242,18,18,0
4344,red,2,0fd00519-935e-4fd4-84a3-f08ab31e911c,42547,15,15,0
4344,red,2,bdda6cbc-abc5-4120-9691-a6749af2a1bc,53243,18,18,0
4344,red,3,e8649818-1660-475e-b44b-e2f639c86bb5,42548,15,15,0
4344,red,3,fba0b4bd-c6a1-4f92-9c2b-1252796a511f,53244,18,18,0
4416,red,1,ccbee6d1-5cd7-4162-a721-d592906f3b89,42742,15,15,0
4416,red,1,f293153a-8764-429d-abe5-5239b9350038,45031,18,18,0
4586,red,1,dcbbc6e1-5ad4-4ee1-9120-bef86b87cca7,42840,15,15,0
4586,red,1,66aa6e39-762f-434e-9462-e676d4f70a88,45055,18,18,0
4588,red,1,bcdea00f-c59d-4dd0-b352-fab8d6083192,42844,15,15,0
4588,red,1,df7b5e68-25f8-4096-bcbc-44215dac119f,45059,18,18,0
4713,red,1,af23760e-aa69-4d2d-8eb8-e552b100ae29,42940,15,15,0
4713,red,1,d6168474-6c32-432b-b79a-987378e6134c,67946,18,18,0
4713,red,2,5d299cb7-ace0-4305-910f-cf776bc9742d,42941,15,15,0
4713,red,2,7eff2a54-decb-4b26-bd4f-eb0f4ba79cb9,67947,18,18,0
4713,red,3,74750785-cf1d-43ac-ac0d-4f1d1338d2a3,42942,15,15,0
4713,red,3,148c6993-5112-4c4d-90fe-89a90e23537e,67948,18,18,0
4728,red,1,a38e886f-9bf1-4839-a3a7-a37934576748,42956,15,15,0
4728,red,1,bd48e429-4771-42c7-ae54-9fb09e4c55e9,59880,18,18,0
4733,red,1,68106021-5e93-4015-bb75-40d1478c4d29,42984,15,15,0
4733,red,1,12b2754d-f414-48d5-a86c-9b3b0bbac642,45075,18,18,0
4733,red,2,59011e47-adb3-4c28-8759-0f6c10f9538a,42985,15,15,0
4733,red,2,bdbf28cd-0d93-40e0-b724-4001246775d5,45077,18,18,0
4733,red,3,757536b4-f84a-487e-94b3-e8e67885b7e7,42986,15,15,0
4733,red,3,1ddac491-6fe9-40fc-aeda-2389b401c2c6,45079,18,18,0
4837,red,1,5c0937f3-11df-4858-8362-f21c688e96e7,43096,15,15,0
4837,red,1,6623fc29-c602-4904-935d-c9eed63ac7c2,45107,18,18,0
4956,red,1,e3d901fd-19c7-4d45-a9f9-0961f6109398,43200,15,15,0
4956,red,1,698b140e-558d-4924-8af6-979b6e3d4741,53796,18,18,0
4956,red,2,5e31e434-1628-4186-b165-ea276880b319,43201,15,15,0
4956,red,2,3dd8951e-ab97-46e6-abf9-447e5b38d83a,53797,18,18,0
4986,red,1,097c7c93-2327-46c7-987b-c9a82217993a,43226,15,15,0
4986,red,1,3109db92-3d81-43da-9d2d-3aa5fff3aa18,45131,18,18,0
4986,red,2,7f39fd3a-0796-42cc-92a2-64c0a180ed5d,43227,15,15,0
4986,red,2,70352d7a-f4a4-4513-a120-ddb16948dce3,45133,18,18,0
4989,red,1,72986627-8daf-4cc7-81dd-757df82e69b0,43236,15,15,0
4989,red,1,66ec7137-d7d6-421f-8a9a-8fdb13be411e,45145,18,18,0
4989,red,2,0dec6609-f6e5-4694-836c-4726c5701803,43237,15,15,0
4989,red,2,e1eaa91d-1156-4800-bc51-118747d63dba,45147,18,18,0
4989,red,3,20828fdc-4bbc-4eef-b71b-8135e1290766,43238,15,15,0
4989,red,3,783cb7aa-3606-4363-b280-44c3d1344be6,45149,18,18,0
5086,red,1,0e62461d-7478-4b54-b910-aee52a930e69,43298,15,15,0
5086,red,1,c90880ef-b88b-4af0-9f6c-61a831861492,56663,18,18,0
5086,red,2,3c3a69fb-9125-4d5a-8cd4-0abccdbda210,43299,15,15,0
5086,red,2,72b2e244-4c0b-4446-a73d-df368ca1bd5e,56664,18,18,0
5086,red,3,77c91e7e-0f82-40bd-8cfe-8e0fcc8f090a,43300,15,15,0
5086,red,3,6c380050-0817-4546-94d1-811c4a23aea5,56665,18,18,0
5090,red,1,ef2ed104-16d8-4fcf-86e0-2608877095cb,43330,15,15,0
5090,red,1,1d12e95a-3493-4601-bbf5-7b2251e7c95c,45169,18,18,0
5090,red,2,b3273858-da6e-49be-9b2b-6c8ef4394ec0,43331,15,15,0
5090,red,2,0f3911bb-1c02-4823-ba90-e15e80c40adb,45171,18,18,0
5090,red,3,fd4560cf-de05-4a0d-8782-dc0cf7194934,43332,15,15,0
5090,red,3,f2cdc530-fd18-405f-9b4a-c453bcc35ce3,45173,18,18,0
5317,red,1,0bdfa204-f8b1-41b2-9673-ae26f38763fb,43602,15,15,0
5317,red,1,b1712a0a-dcfa-4563-bf08-6103d32a0b89,45185,18,18,0
5317,red,2,e01abe65-92a1-404b-90ef-5306933c1afe,43603,15,15,0
5317,red,2,676e2452-0c04-4e07-8942-4abc75bbe95d,45187,18,18,0
5317,red,3,328da1e4-c69e-4bda-8065-e4e3fcb7bc90,43604,15,15,0
5317,red,3,3a5b5933-990e-4b9f-a5bd-bde710ccc7ef,45189,18,18,0
5426,red,1,db32de17-aac7-48d6-8f26-fef3374d883a,43618,15,15,0
5426,red,1,4f9a5cf6-7fd7-4445-802a-4f933ee0eda6,56671,18,18,0
5426,red,2,90ed1820-9581-4b29-870a-41451c04eb62,43619,15,15,0
5426,red,2,69dca836-d87a-44f3-ba38-a52b556236f0,56672,18,18,0
5426,red,3,eef680d0-bdce-44ca-942f-c58f42e8274e,43620,15,15,0
5426,red,3,de44d009-ffca-4388-8592-be5cf7033e5d,56673,18,18,0
5530,red,1,66f3143f-f326-46ec-aa65-4fd7a9841db0,43680,15,15,0
5530,red,1,54363827-bbe1-4e7c-b6af-da9ca0a5324c,45231,18,18,0
5530,red,2,4f784c94-e24f-47ec-9192-e51215523cf4,43681,15,15,0
5530,red,2,d15438ff-c80e-4878-85db-300cafd22c7d,45233,18,18,0
5530,red,3,de9e6c9b-2ad8-43b6-bacf-2679d71bfbe8,43682,15,15,0
5530,red,3,606be8a6-a22f-4c26-9673-ccb9adcf1528,45235,18,18,0
5538,red,1,28a00557-4b82-437c-b990-1b07f8d860d3,43704,15,15,0
5538,red,1,4635445d-9e74-463e-bc01-ca32a6e9e45e,45199,18,18,0
5538,red,2,42af60d7-8690-4cfd-9b2f-8c3472d460e2,43705,15,15,0
5538,red,2,0556dc6a-1581-40a5-9046-2688692de6d7,45201,18,18,0
5538,red,3,f03f2f1f-ae7c-4db1-9bc1-ff4e83dccc67,43706,15,15,0
5538,red,3,1043342d-9cf9-4b9f-a9d3-14445c614ba9,45203,18,18,0
5620,red,1,3e027f50-e472-4cf0-96cc-363f9460bdc8,43778,15,15,0
5620,red,1,98880fa5-7200-4765-bb22-a90d71114382,45251,18,18,0
5620,red,2,d70ec9fb-640b-4d56-a5a7-f6b08e5fad80,43779,15,15,0
5620,red,2,0aa16042-ea3a-48a1-9025-cace6cd19002,45253,18,18,0
5620,red,3,2d7a2d5e-2071-4ce8-a409-2d78470a6980,43780,15,15,0
5620,red,3,558c3820-5a35-496b-82f4-810932c81493,45255,18,18,0
5656,red,1,75349798-435f-49d9-badb-33b3fb3a1be8,43814,15,15,0
5656,red,1,e505f9a4-76a9-40c7-9027-9a77c6e115eb,66965,18,18,0
5656,red,2,4206c001-0cdc-433f-96b0-2d3dfdb1d383,43815,15,15,0
5656,red,2,afd74734-9b9c-4973-9e96-c11fd6d3f53a,66966,18,18,0
5656,red,3,75a178a2-acb4-4dbd-ac6c-1747ad7d6d51,43816,15,15,0
5656,red,3,d8607466-2650-447f-93b9-3d46710270bf,66967,18,18,0
5672,red,1,4224cd5c-f148-4745-8b73-7fd5c16d681f,43822,15,15,0
5672,red,1,3c9b56b7-009d-4d25-aff0-0d790130d92d,45259,18,18,0
5672,red,2,478a27a7-5861-4403-bb9d-3c849d713a80,43823,15,15,0
5672,red,2,39e97cba-cc94-4575-a6b7-db6db0b86fbe,45261,18,18,0
5765,red,1,43d2f7ae-0bf4-499b-af52-5beef495f83e,43882,15,15,0
5765,red,1,e674babf-8122-41ec-8d55-5cdd0f6a541a,45273,18,18,0
5915,red,1,4cd233a7-fcda-4c38-a2af-833c27e84b68,43974,15,15,0
5915,red,1,fbdf85fe-f0fb-47e2-a927-10b7f62b1fad,45293,18,18,0
