source_row_number,date,weightclass,fighter,rank,reason,details
2053,2013-09-02,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
2099,2013-09-02,Middleweight,Ronaldo Souza,5,unmatched_exact_canonical_name,canonical_candidate_count=0
2101,2013-09-02,Middleweight,Costas Philippou,7,unmatched_exact_canonical_name,canonical_candidate_count=0
2111,2013-09-02,Light Heavyweight,Antonio Rogerio Nogueira,6,unmatched_exact_canonical_name,canonical_candidate_count=0
2162,2013-09-06,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
2206,2013-09-06,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
2210,2013-09-06,Middleweight,Costas Philippou,7,unmatched_exact_canonical_name,canonical_candidate_count=0
2220,2013-09-06,Light Heavyweight,Antonio Rogerio Nogueira,6,unmatched_exact_canonical_name,canonical_candidate_count=0
2271,2013-09-23,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
2315,2013-09-23,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
2320,2013-09-23,Middleweight,Costas Philippou,8,unmatched_exact_canonical_name,canonical_candidate_count=0
2329,2013-09-23,Light Heavyweight,Antonio Rogerio Nogueira,6,unmatched_exact_canonical_name,canonical_candidate_count=0
2380,2013-10-11,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
2424,2013-10-11,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
2429,2013-10-11,Middleweight,Costas Philippou,8,unmatched_exact_canonical_name,canonical_candidate_count=0
2438,2013-10-11,Light Heavyweight,Antonio Rogerio Nogueira,6,unmatched_exact_canonical_name,canonical_candidate_count=0
2489,2013-10-21,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
2533,2013-10-21,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
2538,2013-10-21,Middleweight,Costas Philippou,8,unmatched_exact_canonical_name,canonical_candidate_count=0
2546,2013-10-21,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
2598,2013-10-28,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
2642,2013-10-28,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
2648,2013-10-28,Middleweight,Costas Philippou,9,unmatched_exact_canonical_name,canonical_candidate_count=0
2655,2013-10-28,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
2707,2013-11-08,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
2751,2013-11-08,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
2757,2013-11-08,Middleweight,Costas Philippou,9,unmatched_exact_canonical_name,canonical_candidate_count=0
2764,2013-11-08,Light Heavyweight,Antonio Rogerio Nogueira,5,unmatched_exact_canonical_name,canonical_candidate_count=0
2816,2013-11-11,Bantamweight,Michael McDonald,3,ambiguous_exact_canonical_name,canonical_candidate_count=2
2860,2013-11-11,Middleweight,Ronaldo Souza,3,unmatched_exact_canonical_name,canonical_candidate_count=0
