source_row_number,date,weightclass,fighter,rank,reason,details
93297,2025-08-12,Featherweight,Patricio Freire,11,unmatched_exact_canonical_name,canonical_candidate_count=0
93474,2025-08-19,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
93502,2025-08-19,Featherweight,Jean Silva,10,ambiguous_exact_canonical_name,canonical_candidate_count=2
93503,2025-08-19,Featherweight,Patricio Freire,11,unmatched_exact_canonical_name,canonical_candidate_count=0
93681,2025-08-26,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
93708,2025-08-26,Featherweight,Jean Silva,10,ambiguous_exact_canonical_name,canonical_candidate_count=2
93709,2025-08-26,Featherweight,Patricio Freire,11,unmatched_exact_canonical_name,canonical_candidate_count=0
93888,2025-09-09,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
93915,2025-09-09,Featherweight,Jean Silva,10,ambiguous_exact_canonical_name,canonical_candidate_count=2
93916,2025-09-09,Featherweight,Patricio Freire,11,unmatched_exact_canonical_name,canonical_candidate_count=0
94094,2025-09-16,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
94121,2025-09-16,Featherweight,Jean Silva,10,ambiguous_exact_canonical_name,canonical_candidate_count=2
94122,2025-09-16,Featherweight,Patricio Freire,11,unmatched_exact_canonical_name,canonical_candidate_count=0
94200,2025-09-16,Heavyweight,Marcin Tybura,9,conflicting_duplicate_primary_key,"observed_ranks=[9, 10]"
94201,2025-09-16,Heavyweight,Ante Delija,9,conflicting_duplicate_primary_key,"observed_ranks=[9, 10]"
94202,2025-09-16,Heavyweight,Ante Delija,10,conflicting_duplicate_primary_key,"observed_ranks=[9, 10]"
94203,2025-09-16,Heavyweight,Marcin Tybura,10,conflicting_duplicate_primary_key,"observed_ranks=[9, 10]"
94302,2025-09-30,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
94329,2025-09-30,Featherweight,Jean Silva,10,ambiguous_exact_canonical_name,canonical_candidate_count=2
94330,2025-09-30,Featherweight,Patricio Freire,11,unmatched_exact_canonical_name,canonical_candidate_count=0
94507,2025-10-07,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
94535,2025-10-07,Featherweight,Jean Silva,10,ambiguous_exact_canonical_name,canonical_candidate_count=2
94536,2025-10-07,Featherweight,Patricio Freire,11,unmatched_exact_canonical_name,canonical_candidate_count=0
94713,2025-10-14,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
94741,2025-10-14,Featherweight,Jean Silva,10,ambiguous_exact_canonical_name,canonical_candidate_count=2
94742,2025-10-14,Featherweight,Patricio Freire,11,unmatched_exact_canonical_name,canonical_candidate_count=0
94919,2025-10-21,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
94947,2025-10-21,Featherweight,Jean Silva,10,ambiguous_exact_canonical_name,canonical_candidate_count=2
94948,2025-10-21,Featherweight,Patricio Freire,11,unmatched_exact_canonical_name,canonical_candidate_count=0
95125,2025-10-28,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
95153,2025-10-28,Featherweight,Jean Silva,10,ambiguous_exact_canonical_name,canonical_candidate_count=2
95154,2025-10-28,Featherweight,Patricio Freire,11,unmatched_exact_canonical_name,canonical_candidate_count=0
95331,2025-11-04,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
95360,2025-11-04,Featherweight,Jean Silva,11,ambiguous_exact_canonical_name,canonical_candidate_count=2
95361,2025-11-04,Featherweight,Patricio Freire,12,unmatched_exact_canonical_name,canonical_candidate_count=0
95537,2025-11-11,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
95566,2025-11-11,Featherweight,Jean Silva,11,ambiguous_exact_canonical_name,canonical_candidate_count=2
95567,2025-11-11,Featherweight,Patricio Freire,12,unmatched_exact_canonical_name,canonical_candidate_count=0
95742,2025-11-18,Flyweight,Bruno Gustavo da Silva,13,unmatched_exact_canonical_name,canonical_candidate_count=0
95772,2025-11-18,Featherweight,Jean Silva,11,ambiguous_exact_canonical_name,canonical_candidate_count=2
95773,2025-11-18,Featherweight,Patricio Freire,12,unmatched_exact_canonical_name,canonical_candidate_count=0
95949,2025-11-25,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
95978,2025-11-25,Featherweight,Jean Silva,11,ambiguous_exact_canonical_name,canonical_candidate_count=2
95979,2025-11-25,Featherweight,Patricio Freire,12,unmatched_exact_canonical_name,canonical_candidate_count=0
96155,2025-12-09,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
96184,2025-12-09,Featherweight,Jean Silva,11,ambiguous_exact_canonical_name,canonical_candidate_count=2
96185,2025-12-09,Featherweight,Patricio Freire,12,unmatched_exact_canonical_name,canonical_candidate_count=0
96361,2025-12-16,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
96389,2025-12-16,Featherweight,Jean Silva,10,ambiguous_exact_canonical_name,canonical_candidate_count=2
96391,2025-12-16,Featherweight,Patricio Freire,12,unmatched_exact_canonical_name,canonical_candidate_count=0
96567,2026-01-27,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
96591,2026-01-27,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
96597,2026-01-27,Featherweight,Patricio Freire,12,unmatched_exact_canonical_name,canonical_candidate_count=0
96773,2026-02-03,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
96797,2026-02-03,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
96803,2026-02-03,Featherweight,Patricio Freire,12,unmatched_exact_canonical_name,canonical_candidate_count=0
96979,2026-02-10,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
97003,2026-02-10,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
97009,2026-02-10,Featherweight,Patricio Freire,12,unmatched_exact_canonical_name,canonical_candidate_count=0
97185,2026-02-24,Flyweight,Bruno Gustavo da Silva,14,unmatched_exact_canonical_name,canonical_candidate_count=0
97209,2026-02-24,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
97215,2026-02-24,Featherweight,Patricio Freire,12,unmatched_exact_canonical_name,canonical_candidate_count=0
97392,2026-03-03,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
97415,2026-03-03,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
97422,2026-03-03,Featherweight,Patricio Freire,13,unmatched_exact_canonical_name,canonical_candidate_count=0
97598,2026-03-10,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
97621,2026-03-10,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
97628,2026-03-10,Featherweight,Patricio Freire,13,unmatched_exact_canonical_name,canonical_candidate_count=0
97804,2026-03-17,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
97827,2026-03-17,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
97834,2026-03-17,Featherweight,Patricio Freire,13,unmatched_exact_canonical_name,canonical_candidate_count=0
98010,2026-03-24,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
98033,2026-03-24,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
98040,2026-03-24,Featherweight,Patricio Freire,13,unmatched_exact_canonical_name,canonical_candidate_count=0
98216,2026-03-31,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
98239,2026-03-31,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
98246,2026-03-31,Featherweight,Patricio Freire,13,unmatched_exact_canonical_name,canonical_candidate_count=0
98422,2026-04-07,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
98445,2026-04-07,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
98452,2026-04-07,Featherweight,Patricio Freire,13,unmatched_exact_canonical_name,canonical_candidate_count=0
98628,2026-04-14,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
98651,2026-04-14,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
98660,2026-04-14,Featherweight,Patricio Freire,15,unmatched_exact_canonical_name,canonical_candidate_count=0
98834,2026-04-21,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
98857,2026-04-21,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
98866,2026-04-21,Featherweight,Patricio Freire,15,unmatched_exact_canonical_name,canonical_candidate_count=0
99040,2026-04-28,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
99063,2026-04-28,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
99072,2026-04-28,Featherweight,Patricio Freire,15,unmatched_exact_canonical_name,canonical_candidate_count=0
99246,2026-05-05,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
99269,2026-05-05,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
99278,2026-05-05,Featherweight,Patricio Freire,15,unmatched_exact_canonical_name,canonical_candidate_count=0
99452,2026-05-12,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
99475,2026-05-12,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
99484,2026-05-12,Featherweight,Patricio Freire,15,unmatched_exact_canonical_name,canonical_candidate_count=0
99658,2026-05-19,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
99681,2026-05-19,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
99738,2026-05-19,Middleweight,Roman Dolidze,14,conflicting_duplicate_primary_key,"observed_ranks=[14, 15]"
99739,2026-05-19,Middleweight,Roman Dolidze,15,conflicting_duplicate_primary_key,"observed_ranks=[14, 15]"
99811,2026-05-19,Women's Bantamweight,Ailin Perez,5,conflicting_duplicate_primary_key,"observed_ranks=[5, 6]"
99812,2026-05-19,Women's Bantamweight,Ailin Perez,6,conflicting_duplicate_primary_key,"observed_ranks=[5, 6]"
99813,2026-05-19,Women's Bantamweight,Irene Aldana,6,conflicting_duplicate_primary_key,"observed_ranks=[6, 7]"
99814,2026-05-19,Women's Bantamweight,Irene Aldana,7,conflicting_duplicate_primary_key,"observed_ranks=[6, 7]"
99815,2026-05-19,Women's Bantamweight,Yana Santos,7,conflicting_duplicate_primary_key,"observed_ranks=[7, 8]"
99816,2026-05-19,Women's Bantamweight,Yana Santos,8,conflicting_duplicate_primary_key,"observed_ranks=[7, 8]"
99817,2026-05-19,Women's Bantamweight,Macy Chiasson,8,conflicting_duplicate_primary_key,"observed_ranks=[8, 9]"
99818,2026-05-19,Women's Bantamweight,Macy Chiasson,9,conflicting_duplicate_primary_key,"observed_ranks=[8, 9]"
99819,2026-05-19,Women's Bantamweight,Jacqueline Cavalcanti,9,conflicting_duplicate_primary_key,"observed_ranks=[9, 10]"
99820,2026-05-19,Women's Bantamweight,Jacqueline Cavalcanti,10,conflicting_duplicate_primary_key,"observed_ranks=[9, 10]"
99822,2026-05-19,Women's Bantamweight,Michelle Montague,11,conflicting_duplicate_primary_key,"observed_ranks=[11, 12]"
99823,2026-05-19,Women's Bantamweight,Michelle Montague,12,conflicting_duplicate_primary_key,"observed_ranks=[11, 12]"
99824,2026-05-19,Women's Bantamweight,Nora Cornolle,12,conflicting_duplicate_primary_key,"observed_ranks=[12, 13]"
99825,2026-05-19,Women's Bantamweight,Nora Cornolle,13,conflicting_duplicate_primary_key,"observed_ranks=[12, 13]"
99826,2026-05-19,Women's Bantamweight,Luana Santos,13,conflicting_duplicate_primary_key,"observed_ranks=[13, 14]"
99827,2026-05-19,Women's Bantamweight,Luana Santos,14,conflicting_duplicate_primary_key,"observed_ranks=[13, 14]"
99828,2026-05-19,Women's Bantamweight,Bia Mesquita,14,conflicting_duplicate_primary_key,"observed_ranks=[14, 15]"
99829,2026-05-19,Women's Bantamweight,Bia Mesquita,15,conflicting_duplicate_primary_key,"observed_ranks=[14, 15]"
99876,2026-06-02,Flyweight,Bruno Gustavo da Silva,15,unmatched_exact_canonical_name,canonical_candidate_count=0
99899,2026-06-02,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
100105,2026-06-09,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
100311,2026-06-16,Featherweight,Jean Silva,6,ambiguous_exact_canonical_name,canonical_candidate_count=2
