ufc_athlete_uuid,fightmetric_id,official_fight_appearances,disposition,exact_trusted_match_count,matched_canonical_ids,matched_source_names,crosswalk_disposition
13b3073b-259f-4d31-99c9-911d720bce76,1464,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1441033a-9066-4e27-87f8-810e2cb4f3b0,2116,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
14509a32-23a5-410e-bc8d-c26fa2c126d3,1279,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
14836baa-3c14-4eb4-be25-ae1d71835083,3496,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
14b8e84e-1342-4f6e-bd81-d3b5327a0d81,3083,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
14eadd90-c7db-4e43-be03-0ea08749af40,3575,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1526eb2b-2486-48e3-8fad-b9996c9c25b2,1363,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1568f335-91f4-4a6c-b004-accfe55fefaf,1772,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1574c412-0cdd-48b2-ae93-533b50c29239,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
157de9bc-200f-4350-8086-8559d960ee59,1872,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1586e34b-bb31-4c42-a891-90879eb12d0b,601,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
15eb0ae7-2650-499b-abcf-b0d6ff98fc12,1112,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
15fe90e5-c097-4aef-9fd5-7f5d19140cd3,4087,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1600c1db-e42d-4b6b-a60e-3717b9dda6d3,3836,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
16155e0c-430c-40fd-bf80-85389d9164c8,709,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
16887c90-3bfd-4671-9345-15efa8ed10a7,3322,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
16aba645-81f4-4de8-947a-7f270a71a167,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
16eb282f-e0d9-45ed-b7a6-5b84968c91b9,1396,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
16fa01df-6e8c-4d6c-872d-76d62fa96859,3825,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
17220b47-4c21-449c-b71c-4d4d62a357be,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
172998c7-f0f8-47fc-a4c5-effb4110a2a5,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
172a0406-bf4e-4300-a34b-74a473925daf,1125,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
179491da-30d7-4a85-9dfa-126e8a01f702,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
17cb43c7-e591-4c1e-ad3b-09ef7357be24,34,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
17e0a9a1-4110-41fc-b797-d4dd0cf4dbc5,,1,unlinked_with_official_fight_history,0,,,no_source_explicit_fightmetric_id
17e77e50-caa2-4cca-97e6-2c075985c156,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
17eb37bf-655e-4fb0-8109-b7548fdce796,4456,2,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
1834419e-b064-406e-a252-a00b95b0dcaa,828,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
18470d9c-dfd5-40e3-98ae-88a05407f5a0,3681,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1860f4ed-5574-4c26-aa4d-32df41ddf553,1212,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
18e29cc7-e862-45a3-b9ef-33c486217ce6,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
198d4ef2-9d8d-4a10-bf01-2c6458406769,3341,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
19ad5c47-3e40-4d50-826a-f2e51cbb0398,3532,2,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
19b42874-64fc-40b7-91c0-3b290c497fe8,1226,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
19c11ce3-06d9-4290-a33e-5bf50ce6c3da,2433,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
19ced7f5-9798-46aa-be5e-154a3d6b7baa,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
19de17a3-f504-4b15-9f31-c31a405814a4,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
19e39776-10c7-4a90-be83-1e85138f281a,2980,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
19ee26e8-ccaf-4654-b21f-9f31ef3faeff,,0,profile_only_unlinked_no_stable_fight_bridge,0,,,no_source_explicit_fightmetric_id
1a0a248c-779e-47de-8913-77ce8e7e9f66,3512,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1a2b1a27-ca28-4d8c-bb95-0c788ee912a0,2619,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1a37a634-660a-4aa6-b408-f84a229b56d6,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
1a4a69d1-f197-462b-8132-07ad1cfcf366,1461,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1a56b209-32b5-4742-ad7d-29933c1da1e5,776,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1a7c051b-64f4-4dde-a0b8-546e2fc4321e,2109,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1ab83b6a-caf6-4972-bbfb-a02235263944,691,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1aec77b4-cdbb-449d-87f9-736711d5b12f,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
1b26c903-bfa3-4da3-94ed-ee0d3252f755,1255,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1b931f6c-967e-4173-bd14-7e0ea4d37537,1698,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1ba8643c-fd05-4b97-8d4c-43922a332b6c,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
1bca2e47-49b8-416d-ac04-6f57a4cac977,155,5,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
1be1ee72-cdf9-4beb-af47-9ed6eae3987d,3830,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1c78adda-fd27-40aa-a6c4-1c08ef632e77,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
1ccfdbde-9f34-4627-be2c-33a42b76660f,916,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1cd32fe3-5ad2-4e8d-924f-444a45242146,963,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1cdc2725-8398-4d3c-8c9e-d6ffd7eae428,3907,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1cdd2572-260d-4f0b-82b6-6c82169f3117,2094,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1cf1cf91-3f74-4908-862e-828ce5ead19c,764,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1cf76d4b-6166-4ae8-bf30-dc0f9c726c89,711,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1cf82859-c64c-4710-b21b-b869c6b80b56,1473,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1d300225-7e97-400c-8ff5-273728b09f6e,,0,profile_only_legacy_identity,0,,,no_source_explicit_fightmetric_id
1d3f4aa8-c9c8-47b1-9e5a-1a5a43781a38,512,1,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
1d47545c-a23c-4191-8e65-6a6b8c978601,1420,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1d521a9c-4dae-41b8-9d50-5ba1c6029550,817,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1d65ae04-4454-42d4-96d0-8f18794bf888,3798,3,unlinked_with_official_fight_history,0,,,no_exact_trusted_source_id_match
1d80e84c-333d-4790-9364-15bcb53254a3,1568,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
1d8231ad-0d65-42b9-8e5c-9398b23e9999,1845,0,profile_only_unlinked_with_fightmetric_id,0,,,no_exact_trusted_source_id_match
