ufc_athlete_uuid,title,fightmetric_id,old_id,old_url,athlete_status_text,official_fight_appearances,distinct_official_fights,disposition
d77422ed-8c9b-44cb-a1f4-31fd1717effc,Roy Jones,1854,242286,http://www.ufc.com/fighter/Roy-Jones,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
d7754bc6-a72f-4412-890a-c36ff594b962,Liu Ce,4555,,,Active,1,1,unlinked_with_official_fight_history
d782a775-f2c5-463d-9fb4-b44621b32e4c,Sokun Koh,757,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
d7b466bc-fc25-4ea1-b163-9885a4f8c1c1,Ryan Roberts,640,905,http://www.ufc.com/fighter/Ryan-Roberts,Released,1,1,unlinked_with_official_fight_history
d7fc0839-1a7d-4e80-94ad-eaf8a73671d2,Felipe Pena,4056,,,Active,1,1,unlinked_with_official_fight_history
d80f5aa3-f1b1-46b7-9017-12a70e3b86aa,Elaina Maxwell,1198,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
d8363b5a-dd95-4ad2-b096-cb2eee6fdd54,Marcos Conrado Junior,3166,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
d83f6e43-ca3e-4630-b609-b28b20b57a4e,Dennis Bryant,3154,661599,http://www.ufc.com/fighter/Dennis-Bryant,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
d84d2ded-a93b-4224-84e4-5b62b6c1e182,Kazushi Sakuraba,110,105,http://www.ufc.com/fighter/Kazushi-Sakuraba,Not Fighting,2,2,unlinked_with_official_fight_history
d8572721-b923-4237-870d-f72aa745f453,Mark Climaco,3976,,,Active,1,1,unlinked_with_official_fight_history
d8815c25-e3e0-44ce-912f-f55ed93e7681,Chris Fields,,480095,http://www.ufc.com/fighter/chris-fields,Active,0,0,profile_only_legacy_identity
d8a190e2-e377-4b8c-8fc5-923d8a9374d4,Johnny Fadella,,613,http://www.ufc.com/fighter/Johnny-Fadella,Released,0,0,profile_only_legacy_identity
d8ac73a9-479c-4d1d-800e-bc7977866ae5,Ed Ratcliff,1023,452,http://www.ufc.com/fighter/Ed-Ratcliff,Not Fighting,1,1,unlinked_with_official_fight_history
d8c095cb-d9f1-4da4-a20b-1d0d75054674,Manuel Rodriguez,2034,290157,http://www.ufc.com/fighter/manuel-rodriguez,Not Fighting,1,1,unlinked_with_official_fight_history
d8cacf04-8830-4851-94e0-ba17bf7a536f,Jenna Castillo,1747,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
d906be6a-e090-48d4-b0ce-265f1284ed27,Jaime Alvarez,2978,635980,http://www.ufc.com/fighter/Jamie-Alvarez,Active,1,1,unlinked_with_official_fight_history
d914e5d3-00ee-4684-98de-40c18557acb7,Austin Springer,3092,656958,http://www.ufc.com/fighter/Austin-Springer,Not Fighting,1,1,unlinked_with_official_fight_history
d9365764-a5a5-46d4-8de7-57c71226496d,Joachim Hansen,731,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
d9851627-4cd9-4c09-aadb-051a6796c9cd,Kazunori Yokota,1180,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
d98b8ece-00a5-45bc-be9e-868b3b65d3f4,Jason Ireland,742,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
d9a8c86b-7260-451a-9038-68922f9b51f5,Dave Cochran,1383,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
da6af785-48f0-4cef-a98d-2845bb402dfd,Randy Bowers,,628,http://www.ufc.com/fighter/Randy-Bowers,Released,0,0,profile_only_legacy_identity
da9bba1b-5a00-459b-9526-cf2e132fc0f4,Muhsin Corbbrey,1073,1093,http://www.ufc.com/fighter/Muhsin-Corbbrey,Not Fighting,2,2,unlinked_with_official_fight_history
dab43b8f-cefc-4e55-9cef-8b60a91a8b9c,Helen Harper,,587593,http://www.ufc.com/fighter/helen-harper,Active,0,0,profile_only_legacy_identity
dad17e80-c07c-46d6-9364-ca2fbe1b0b2c,Maiju Kujala,1619,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
dae77866-e752-487d-96bc-97147a8dab4a,Chi Lewis-Parry,3418,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
db060157-78b2-4506-a3a1-6483d2a04467,Mashrabjon Ruzibaev,4319,,,Not Fighting,1,1,unlinked_with_official_fight_history
db5549cf-72e6-4ec3-960a-4686276499b6,Cesar Gracie,1213,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
db6273a4-bffa-4125-a4cf-db320ea09b42,Jose Landi-Jons,762,162,http://www.ufc.com/fighter/Jose-Landi-Jons,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
dba3fc33-6fba-4704-b77c-c44e0965a669,Alberto Cerro Leon,587,215,http://www.ufc.com/fighter/Alberto-Cerro-Leon,Not Fighting,1,1,unlinked_with_official_fight_history
dc64c2e7-022a-4a85-b801-cdb91d9af7e4,Janaina Silva,4017,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
dc67c5cc-ac30-4fb5-b7fe-53ea17e3c62b,Slim Trabelsi,3948,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
dc7defd8-a237-4a99-8cc7-cf5e938bad16,Dieusel Berto,8,171,http://www.ufc.com/fighter/Dieusel-Berto,Not Fighting,1,1,unlinked_with_official_fight_history
dca62edf-d827-44d2-ad8f-dfed38cb2100,Ryan Stonitsch,1106,896,http://www.ufc.com/fighter/Ryan-Stonitsch,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
dcbc899e-f309-4000-8a09-445dc5215655,Bilal Hasan,4568,,,Active,1,1,unlinked_with_official_fight_history
dcd30fd5-5c05-498a-b532-fc10c7110fd4,Kyle Levinton,1241,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
dd5ed9bb-f1f1-464d-a2dd-b03d77590cf6,Kazuma Maruyama,3990,,,Active,1,1,unlinked_with_official_fight_history
dd62e5f2-a6e3-44e0-aeef-21f83e4a80fd,Alex Gilpin,3158,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
dd6acc3a-930e-41a5-b558-70e96c5d2b92,Tulio Palhares,602,909,http://www.ufc.com/fighter/Tulio-Palhares,Not Fighting,1,1,unlinked_with_official_fight_history
dd8efe6e-ebc8-4296-96a0-e0c8ea935137,RJ Clifford,1552,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
dda09838-06a5-4a3e-8e92-526d491e207d,Cheyden Leialoha,2946,632978,http://www.ufc.com/fighter/Cheyden-Leialoha,Not Fighting,1,1,unlinked_with_official_fight_history
ddf12458-c4c4-49b1-8f5d-492db8854142,Rami Hamed,4118,,,Active,0,0,profile_only_unlinked_with_fightmetric_id
de330826-59cb-4e23-9c66-780e828c463d,Kaleo Kwan,1370,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
de3c8871-f364-40a2-a929-78cde97d109e,Davi Costa,,,,Active,0,0,profile_only_unlinked_no_stable_fight_bridge
de4de974-0094-4d63-a053-67cfeaef4365,Asikerbai Jinensibieke,3822,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
de80ec5a-ccf5-42d3-8305-953eeb22c16f,Abdel Medjedoub,,587579,http://www.ufc.com/fighter/abdel-medjedoub,Active,0,0,profile_only_legacy_identity
de8441ae-f6d7-4b7a-9b18-0adcf370555e,Lee Sandmeier,,453475,http://www.ufc.com/fighter/Lee-Sandmeier,Active,0,0,profile_only_legacy_identity
dea5b176-75b4-4c43-8aae-e83e854b4c3b,J.R. Coughran,,661597,http://www.ufc.com/fighter/JR-Coughran,Active,0,0,profile_only_legacy_identity
deb65ab2-306a-4377-9a35-d9ce61fe3958,Micahel Pastou,,290174,http://www.ufc.com/fighter/michael-pastou,Active,0,0,profile_only_legacy_identity
ded4981b-cfb3-4a22-916e-caae30c72c09,Matt Lee,1273,,,Not Fighting,0,0,profile_only_unlinked_with_fightmetric_id
def5db2f-425e-4c5b-a712-fab4be01ea72,Valdir Araujo,,530257,http://www.ufc.com/fighter/valdir-araujo,Active,0,0,profile_only_legacy_identity
